date,event_day,return,market_return,industry_return,smb,hml,abnormal_return,asset,case,expected_return,cumulative_abnormal_return
2020-09-09,-5,0.03796571575874852,0.029375781875125684,0.027879935735782124,-0.0018,-0.0199,0.006231100162084308,Salesforce,Snowflake IPO,0.03173461559666421,0.006231100162084308
2020-09-10,-4,-0.010501895543431727,-0.019936693707984565,-0.01206325251197024,0.0031,-0.0006,0.008541445916013846,Salesforce,Snowflake IPO,-0.019043341459445574,0.014772546078098154
2020-09-11,-3,-0.018966896248425402,-0.006939796417249289,-0.00900228972826736,-0.0084,0.009,-0.007018820599942847,Salesforce,Snowflake IPO,-0.011948075648482555,0.0077537254781553065
2020-09-14,-2,0.014561880696232654,0.017415386365272623,0.0345445952143833,0.0118999999999999,-0.008,-0.012675407379798193,Salesforce,Snowflake IPO,0.027237288076030847,-0.004921681901642886
2020-09-15,-1,0.020434614412119245,0.014173549369745908,0.030239287008065885,-0.0027,-0.0146,0.0007261194617464405,Salesforce,Snowflake IPO,0.019708494950372805,-0.0041955624398964456
2020-09-16,0,-0.00429111015454009,-0.01594643533993756,-0.018446467788930748,0.0076,0.0132,0.01323645926861132,Salesforce,Snowflake IPO,-0.01752756942315141,0.009040896828714874
2020-09-17,1,-0.02422189615474868,-0.01562207587554254,-0.004605919019965349,0.0036,0.002,-0.010706998634998431,Salesforce,Snowflake IPO,-0.013514897519750248,-0.001666101806283557
2020-09-18,2,-0.00715658613968051,-0.012762696483998526,0.000182259987638822,0.0079,-0.0021,0.0011315990199075414,Salesforce,Snowflake IPO,-0.008288185159588051,-0.0005345027863760156
2020-09-21,3,0.009350046477776486,0.002398226327978481,0.02602699368456718,-0.0202,-0.019,0.004912143096004245,Salesforce,Snowflake IPO,0.0044379033817722405,0.00437764030962823
2020-09-22,4,0.011140565980578554,0.01857874860479991,0.01924498855800305,-0.0017,-0.016,-0.009252329720781709,Salesforce,Snowflake IPO,0.020392895701360263,-0.004874689411153479
2020-09-23,5,-0.047582506030417804,-0.03053437679373927,-0.022768157034520176,-0.0069999999999999,0.0016,-0.013932483836000396,Salesforce,Snowflake IPO,-0.03365002219441741,-0.018807173247153877
2020-09-24,6,0.006610439096069953,0.004656310453044377,-0.00675379376957197,-0.0021,0.0038,0.006489125306790647,Salesforce,Snowflake IPO,0.00012131378927930604,-0.01231804794036323
