date,event_day,return,market_return,industry_return,abnormal_return,asset,case,expected_return,cumulative_abnormal_return
2023-09-22,-5,0.029010238907849928,-0.0038690337872379077,0.006187698833510058,0.02795335057824327,Robostar,Doosan Robotics IPO,0.0010568883296066562,0.02795335057824327
2023-09-25,-4,-0.0016583747927031434,-0.021204875488423758,-0.02765346976486932,0.021705908589336437,Robostar,Doosan Robotics IPO,-0.02336428338203958,0.04965925916757971
2023-09-26,-3,-0.01827242524916939,-0.01352526901581319,0.008222225916566905,-0.01573005488073337,Robostar,Doosan Robotics IPO,-0.0025423703684360217,0.03392920428684634
2023-09-27,-2,0.04906937394247035,0.01594549539755019,0.020533754957951178,0.03175536710375938,Robostar,Doosan Robotics IPO,0.01731400683871097,0.06568457139060573
2023-10-04,-1,-0.030645161290322576,-0.03997526812679841,-0.03768430949441903,0.006414694114480084,Robostar,Doosan Robotics IPO,-0.03705985540480266,0.0720992655050858
2023-10-05,0,-0.08652246256239604,-0.007901907356948179,-0.13895040924410207,-0.01614831593394539,Robostar,Doosan Robotics IPO,-0.07037414662845065,0.05595094957114041
2023-10-06,1,-0.00910746812386154,0.01918803525504975,-0.02930743502408789,-0.004083529222814856,Robostar,Doosan Robotics IPO,-0.005023938901046684,0.05186742034832556
2023-10-10,2,-0.047794117647058876,-0.026200712894572376,-0.03370696857132155,-0.019163883716862853,Robostar,Doosan Robotics IPO,-0.028630233930196022,0.03270353663146271
2023-10-11,3,0.015444015444015413,0.027823899371069105,-0.0030619203848374354,0.0038059326370938843,Robostar,Doosan Robotics IPO,0.011638082806921529,0.03650946926855659
2023-10-12,4,0.04752851711026618,0.022481398081065196,0.05736667708000609,0.009475817134529621,Robostar,Doosan Robotics IPO,0.038052699975736556,0.04598528640308621
2023-10-13,5,-0.00907441016333943,-0.015212629714299486,-0.019539309435206542,0.007564909744147419,Robostar,Doosan Robotics IPO,-0.01663931990748685,0.05355019614723363
2023-10-16,6,-0.042124542124542086,-0.014876394661999526,-0.044081705336692256,-0.013888733541860387,Robostar,Doosan Robotics IPO,-0.0282358085826817,0.039661462605373246
2023-10-17,7,0.017208413001912115,0.012140054778295939,0.028698299969246333,-0.0022138989723662315,Robostar,Doosan Robotics IPO,0.019422311974278347,0.03744756363300701
2023-10-18,8,-0.005639097744360888,-0.014005704673443975,0.0031269191661999485,-0.0004285231600636959,Robostar,Doosan Robotics IPO,-0.005210574584297192,0.03701904047294331
