date,event_day,return,market_return,industry_return,smb,hml,abnormal_return,asset,case,expected_return,cumulative_abnormal_return
2021-11-03,-5,0.03571673801973452,0.006105233516956243,0.010274890544468285,0.0144999999999999,-0.0016,0.012019456936482726,Tesla,Rivian IPO,0.02369728108325179,0.012019456936482726
2021-11-04,-4,0.013222297879683653,0.004712520303954415,0.03857818609730401,-0.0002,-0.0138,-0.01991987404335941,Tesla,Rivian IPO,0.033142171923043064,-0.007900417106876684
2021-11-05,-3,-0.006358169933862068,0.0034696089278050124,-0.014574599114150627,0.0068,0.0121999999999999,-0.00034857520536799545,Tesla,Rivian IPO,-0.006009594728494072,-0.00824899231224468
2021-11-08,-2,-0.04840070953386311,0.0008537209944432522,0.025019127269271524,0.0002,0.001,-0.058917365083370435,Tesla,Rivian IPO,0.010516655549507325,-0.06716635739561512
2021-11-09,-1,-0.11990303254359846,-0.003305371414023428,-0.034209667633369495,-0.0018,0.0046,-0.1021188368503038,Tesla,Rivian IPO,-0.017784195693294664,-0.16928519424591892
2021-11-10,0,0.043429451929624774,-0.008044866546158214,-0.013207147123269591,-0.0066,0.0095,0.06746747377426975,Tesla,Rivian IPO,-0.02403802184464497,-0.10181772047164918
2021-11-11,1,-0.004157528824601631,0.0003235276693500655,0.04828875741042987,0.0053,0.0034,-0.022845187105104466,Tesla,Rivian IPO,0.018687658280502836,-0.12466290757675365
2021-11-12,2,-0.02829310201599211,0.007546844519723317,0.01352607058507485,-0.0032,-0.0091,-0.04950911704901494,Tesla,Rivian IPO,0.021216015033022832,-0.17417202462576858
2021-11-15,3,-0.01938224449936754,0.00034242229518555156,-0.014689900313763993,-0.0052,0.0069999999999999,-0.006868415484622003,Tesla,Rivian IPO,-0.012513829014745537,-0.18104044011039058
2021-11-16,4,0.04079376842602822,0.003957824984497371,0.011463685490847392,0.0004,-0.0068,0.02365127988854854,Tesla,Rivian IPO,0.01714248853747968,-0.15738916022184204
2021-11-17,5,0.032501208284666294,-0.002429219514628267,-0.0045135705232453305,-0.0056999999999999,-0.0026,0.035443051177858356,Tesla,Rivian IPO,-0.002941842893192061,-0.12194610904398369
2021-11-18,6,0.006767610267700563,0.0033964119454403807,-0.027103930132567566,-0.0056,-0.0006,0.012955979117446548,Tesla,Rivian IPO,-0.006188368849745986,-0.10899012992653714
2021-11-19,7,0.03710391800920432,-0.0017882535035962377,-0.004681151671632217,-0.0017,-0.0131,0.026289890959116036,Tesla,Rivian IPO,0.010814027050088281,-0.08270023896742111
2021-11-22,8,0.017422122080461122,-0.0028151747381706116,0.04416242106710966,-0.0054,0.0278,0.03482364177928972,Tesla,Rivian IPO,-0.0174015196988286,-0.04787659718813139
2021-11-23,9,-0.041352932727292124,0.0013259941986774049,0.016581196045996532,-0.0052,0.0177,-0.02937872644537587,Tesla,Rivian IPO,-0.011974206281916255,-0.07725532363350726
2021-11-24,10,0.006284772484400847,0.00266985624101701,0.008482839216566368,0.0003,-0.0087,-0.010385765692605926,Tesla,Rivian IPO,0.016670538177006772,-0.08764108932611318
2021-11-26,11,-0.030537595031082,-0.022303172218498646,-0.03791407008929337,-0.0121999999999999,-0.0095,0.0012024328027556153,Tesla,Rivian IPO,-0.031740027833837614,-0.08643865652335757
2021-11-29,12,0.050900227900227524,0.012266607551340236,0.0018604064330323966,-0.0102,-0.0078,0.034817133607179154,Tesla,Rivian IPO,0.016083094293048366,-0.051621522916178414
2021-11-30,13,0.006833823403773698,-0.019457616070086114,-0.004911636780848244,0.0053,-0.0113,0.01099260023785422,Tesla,Rivian IPO,-0.004158776834080523,-0.04062892267832419
2021-12-01,14,-0.04346763456194869,-0.011107203410551714,-0.01688282336899155,-0.0078,0.0109,-0.012898631666937267,Tesla,Rivian IPO,-0.03056900289501142,-0.05352755434526146
2021-12-02,15,-0.00949773919092467,0.015316301657013032,-0.011253388500939043,0.0072,0.0124,-0.016728354307807294,Tesla,Rivian IPO,0.007230615116882623,-0.07025590865306876
2021-12-03,16,-0.06419876077133224,-0.008701312903057756,-0.06576641065309341,-0.0115,0.0108,-0.017821809622702522,Tesla,Rivian IPO,-0.04637695114862972,-0.08807771827577128
2021-12-06,17,-0.005872086315763081,0.01184331295081531,0.01722192051635618,0.0076,0.0063,-0.025041194273539503,Tesla,Rivian IPO,0.019169107957776422,-0.11311891254931078
2021-12-07,18,0.04235837141187604,0.020684823247291373,0.028765696260486362,0.002,-0.0178,-0.009398538851414763,Tesla,Rivian IPO,0.0517569102632908,-0.12251745140072554
2021-12-08,19,0.016363195584229162,0.0026479675356780863,0.012173835675459432,0.0067,-0.0085,-0.005760957695219671,Tesla,Rivian IPO,0.022124153279448833,-0.1282784090959452
2021-12-09,20,-0.06095644581905246,-0.006751539837133391,-0.024070170828652593,-0.0136,0.0155,-0.023913954441845783,Tesla,Rivian IPO,-0.03704249137720668,-0.15219236353779098
2021-12-10,21,0.013179927022311633,0.009413496458462456,0.04440551403825277,-0.0083,0.0052,-0.002228195053557388,Tesla,Rivian IPO,0.015408122075869021,-0.15442055859134837
2021-12-13,22,-0.04977243020772948,-0.008858357047762389,-0.04046415226596137,-0.003,-0.0098999999999999,-0.03776404220135274,Tesla,Rivian IPO,-0.012008388006376741,-0.1921846007927011
2021-12-14,23,-0.008174578197676419,-0.006880043556733884,-0.022526340613119672,-0.0068,0.0165,0.024724488095874055,Tesla,Rivian IPO,-0.03289906629355047,-0.16746011269682706
2021-12-15,24,0.018236618133556703,0.015625045279773042,-0.016294757979433555,0.0038,-0.0191,-0.016364764186128533,Tesla,Rivian IPO,0.03460138231968524,-0.1838248768829556
2021-12-16,25,-0.050277132790258694,-0.00881851645274212,-0.010071940373672816,-0.016,0.0279999999999999,-0.0016340048187619555,Tesla,Rivian IPO,-0.04864312797149674,-0.18545888170171754
2021-12-17,26,0.006095449446181567,-0.014106585738330457,-0.024553036180468085,0.0189,-0.0233999999999999,-0.010326190573966554,Tesla,Rivian IPO,0.01642164002014812,-0.1957850722756841
2021-12-20,27,-0.03498927121736173,-0.010633405490204417,-0.038724262076453186,-0.0016,-0.0040999999999999,-0.0169922031441591,Tesla,Rivian IPO,-0.01799706807320263,-0.2127772754198432
2021-12-21,28,0.04288056302579579,0.017758992432985066,0.0511180399856529,0.0081999999999999,0.0019,0.001982372451422479,Tesla,Rivian IPO,0.040898190574373314,-0.21079490296842074
2021-12-22,29,0.07494705523716627,0.009998714868965974,0.021325237374779177,0.0026,-0.0034999999999999,0.05017383707120797,Tesla,Rivian IPO,0.0247732181659583,-0.16062106589721276
2021-12-23,30,0.05761886305530961,0.006222077972414919,0.01258988077433687,0.0034999999999999,-0.0049,0.03750556846075362,Tesla,Rivian IPO,0.02011329459455599,-0.12311549743645914
2021-12-27,31,0.025248391499066658,0.014152153794584565,0.004378771583914698,-0.001,0.0031,0.010734640587305212,Tesla,Rivian IPO,0.014513750911761446,-0.11238085684915393
2021-12-28,32,-0.005000275342793459,-0.0008171953242616103,-0.008317465756183695,-0.006,0.0081999999999999,0.008384547404037018,Tesla,Rivian IPO,-0.013384822746830477,-0.10399630944511691
2021-12-29,33,-0.0020947102761840197,0.0012792079086265673,-0.018593972739992914,-0.0006,0.0017,0.0022745280174802035,Tesla,Rivian IPO,-0.004369238293664223,-0.1017217814276367
2021-12-30,34,-0.014592268383646134,-0.0027645289726202504,0.06464422094023906,0.001,-0.0040999999999999,-0.0397901005893891,Tesla,Rivian IPO,0.025197832205742964,-0.1415118820170258
2021-12-31,35,-0.012668840823859995,-0.0025201869073463445,0.007418766932053428,0.0005,0.0052,-0.010134008859416208,Tesla,Rivian IPO,-0.0025348319644437865,-0.151645890876442
2022-01-03,36,0.1353166841897706,0.005789961364061735,0.0366948098034329,0.0034999999999999,0.0077,0.12029347409052119,Tesla,Rivian IPO,0.01502321009924943,-0.03135241678592082
2022-01-04,37,-0.041832696836128,-0.00033493890638969237,0.020450588272833053,-0.0081,0.0364,-0.0089403193005173,Tesla,Rivian IPO,-0.0328923775356107,-0.04029273608643812
2022-01-05,38,-0.05347121367683638,-0.019202142486770768,-0.03937656341073642,-0.0146,0.0258,0.012068656520968127,Tesla,Rivian IPO,-0.06553987019780451,-0.028224079565469996
2022-01-06,39,-0.02152337383085412,-0.0009394133755055156,0.007183998753848064,0.0021,0.0176,-0.009417973173778389,Tesla,Rivian IPO,-0.012105400657075731,-0.03764205273924839
2022-01-07,40,-0.035446567451716815,-0.003953511334494841,-0.01130180284534768,-0.0132,0.0202,-0.0010229015164238062,Tesla,Rivian IPO,-0.03442366593529301,-0.03866495425567219
2022-01-10,41,0.03034195341380186,-0.001244366059822366,-0.027610074664991463,-0.0024,-0.0026,0.03721455760890948,Tesla,Rivian IPO,-0.006872604195107623,-0.0014503966467627125
2022-01-11,42,0.005935024657598653,0.009108268663244656,0.034791977773235894,-0.0009,-0.0027,-0.019033803716865656,Tesla,Rivian IPO,0.02496882837446431,-0.020484200363628368
