date,open,high,low,close,adj_close,volume,foreign_ownership,code,name,source
2020-09-08,336.7099914550781,342.6400146484375,332.8800048828125,333.2099914550781,307.64837646484375,114465300,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-09,337.54998779296875,342.4599914550781,336.6099853515625,339.7900085449219,313.7235412597656,91462300,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-10,341.82000732421875,342.5299987792969,332.8500061035156,333.8900146484375,308.2762145996094,90569500,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-11,335.82000732421875,336.9700012207031,331.0,334.05999755859375,308.4331359863281,84680200,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-14,337.489990234375,340.3800048828125,334.2200012207031,338.4599914550781,312.4955749511719,65605700,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-15,341.1199951171875,342.0199890136719,338.4700012207031,340.1700134277344,314.074462890625,52920900,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-16,341.510009765625,343.05999755859375,338.5199890136719,338.82000732421875,312.8280334472656,82096000,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-17,333.55999755859375,337.70001220703125,332.989990234375,335.8399963378906,310.0766296386719,91523300,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-18,335.3699951171875,335.489990234375,327.9700012207031,330.6499938964844,306.5067443847656,105877900,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-21,325.70001220703125,327.1300048828125,321.7300109863281,326.9700012207031,303.0954284667969,99450800,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-22,328.57000732421875,330.8999938964844,325.8599853515625,330.29998779296875,306.18231201171875,63612100,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-23,330.8999938964844,331.20001220703125,322.1000061035156,322.6400146484375,299.0816650390625,93112200,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-24,321.2200012207031,326.79998779296875,319.79998779296875,323.5,299.87890625,76681300,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-25,322.5799865722656,329.5799865722656,321.6400146484375,328.7300109863281,304.7269592285156,71069400,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-28,333.2200012207031,334.9599914550781,332.1499938964844,334.19000244140625,309.7882995605469,64584600,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-29,333.9700012207031,334.7699890136719,331.6199951171875,332.3699951171875,308.1011962890625,51304000,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-09-30,333.0899963378906,338.2900085449219,332.8800048828125,334.8900146484375,310.4372253417969,104081100,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-01,337.69000244140625,338.739990234375,335.010009765625,337.0400085449219,312.43017578125,88698700,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-02,331.70001220703125,337.010009765625,331.19000244140625,333.8399963378906,309.46380615234375,89431100,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-05,336.05999755859375,339.9599914550781,336.010009765625,339.760009765625,314.95159912109375,45713100,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-06,339.9100036621094,342.1700134277344,334.3800048828125,334.92999267578125,310.4742126464844,90128900,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-07,338.1199951171875,341.6300048828125,338.0899963378906,340.760009765625,315.87860107421875,56999600,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-08,342.8500061035156,343.8500061035156,341.8599853515625,343.7799987792969,318.6780090332031,45242500,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-09,345.55999755859375,347.3500061035156,344.8900146484375,346.8500061035156,321.5238342285156,59528600,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-12,349.5899963378906,354.0199890136719,349.05999755859375,352.42999267578125,326.6964416503906,80388500,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-13,352.2799987792969,352.4700012207031,349.0899963378906,350.1300048828125,324.564453125,73255500,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-14,350.75,351.92999267578125,347.1400146484375,347.92999267578125,322.5251159667969,57727900,,SPY.US,S&P 500 ETF,yahoo-finance-chart
2020-10-15,343.7099914550781,348.0199890136719,343.1300048828125,347.5,322.12640380859375,60357700,,SPY.US,S&P 500 ETF,yahoo-finance-chart
