case,listing_date,ipo_day_return,ipo_t20_return,peer_pre_avg,peer_post_avg,peer_post_avg_60,benchmark_pre,benchmark_post,benchmark_post_60,peer_abnormal_post,peer_abnormal_post_60
LG Energy Solution IPO,2022-01-27,,-0.1405940594059406,-0.005738077488060915,-0.06880260919009003,-0.056771797868190456,-0.09489558312091384,0.03405253032140121,0.02027163997567394,-0.10285513951149124,-0.07704343784386439
Doosan Robotics IPO,2023-10-05,,-0.12840466926070038,-0.02912698313663553,-0.04309830314194659,0.07624195833955842,-0.06163723666093279,-0.014669662173406484,0.08475203860875347,-0.028428640968540107,-0.008510080269195044
LG CNS IPO,2025-02-05,,-0.08602150537634412,0.0025335192236996353,0.0434324389996081,0.034934727658177435,0.03449440169408158,0.026657155268265287,0.02013334555468327,0.016775283731342815,0.014801382103494166
Arm Holdings IPO,2023-09-14,,-0.18462024925768172,0.04435837960007083,0.02795047025178272,0.13571061166494008,0.032189503599877156,-0.01945555318905745,0.039494327266838436,0.047406023440840175,0.09621628439810165
Snowflake IPO,2020-09-16,,-0.042334502855381984,0.10008248859854127,0.1493554761796149,0.14814573718847213,0.0039212732780655735,0.06354471118262994,0.10163506482249107,0.08581076499698495,0.046510672365981054
Rivian IPO,2021-11-10,,0.1456368279564395,0.16116112524331566,-0.028355215068037,-0.1865359207347636,0.07399240026878018,0.005888466880377141,-0.03528748872754561,-0.03424368194841414,-0.151248432007218
