date,open,high,low,close,volume,foreign_ownership,code,name,source
2020-11-23,151036,153003,150052,151528,514167,24.04,096770,SK Innovation,naver-finance
2020-11-24,154972,157432,153496,157432,1279211,24.15,096770,SK Innovation,naver-finance
2020-11-25,162843,169239,159400,160876,2221094,24.05,096770,SK Innovation,naver-finance
2020-11-26,162843,172191,158415,172191,2016524,24.1,096770,SK Innovation,naver-finance
2020-11-27,169239,178586,167763,176619,2496826,24.03,096770,SK Innovation,naver-finance
2020-11-30,179078,181538,170223,170223,1791697,23.75,096770,SK Innovation,naver-finance
2020-12-01,173175,180062,172191,179571,1456801,23.75,096770,SK Innovation,naver-finance
2020-12-02,180554,181538,175635,179571,1092423,23.67,096770,SK Innovation,naver-finance
2020-12-03,179078,179078,173667,177111,888781,23.62,096770,SK Innovation,naver-finance
2020-12-04,178094,180062,172191,174651,1113277,23.62,096770,SK Innovation,naver-finance
2020-12-07,176126,177602,171699,175635,823082,23.66,096770,SK Innovation,naver-finance
2020-12-08,176126,179078,173175,173175,705672,23.61,096770,SK Innovation,naver-finance
2020-12-09,175143,185474,174651,182031,1848238,23.77,096770,SK Innovation,naver-finance
2020-12-10,178586,190393,175142,187442,2242186,24.12,096770,SK Innovation,naver-finance
2020-12-11,189408,193345,184490,184982,1289513,24.14,096770,SK Innovation,naver-finance
2020-12-14,186458,187934,179571,180063,1056444,24.06,096770,SK Innovation,naver-finance
2020-12-15,183014,184490,178587,181539,878058,24.02,096770,SK Innovation,naver-finance
2020-12-16,183998,186457,181046,185966,733375,24.06,096770,SK Innovation,naver-finance
2020-12-17,187442,189409,184490,188918,790169,24.16,096770,SK Innovation,naver-finance
2020-12-18,189900,190393,184982,185474,553697,24.08,096770,SK Innovation,naver-finance
2020-12-21,184981,186949,181538,184490,521972,24.09,096770,SK Innovation,naver-finance
2020-12-22,182522,183998,177603,179079,678049,24.28,096770,SK Innovation,naver-finance
2020-12-23,179570,180554,175143,177603,597285,24.3,096770,SK Innovation,naver-finance
