date,open,high,low,close,volume,foreign_ownership,code,name,source
2022-08-01,71900,72900,70100,70700,110154,11.81,000150,Doosan Corp,naver-finance
2022-08-02,70600,73300,68900,69800,120701,11.82,000150,Doosan Corp,naver-finance
2022-08-03,69100,71400,69100,71100,60775,11.87,000150,Doosan Corp,naver-finance
2022-08-04,72000,72000,70200,70800,50017,11.83,000150,Doosan Corp,naver-finance
2022-08-05,70700,72100,70000,71400,60782,11.91,000150,Doosan Corp,naver-finance
2022-08-08,71300,73200,70700,73100,67122,11.9,000150,Doosan Corp,naver-finance
2022-08-09,73000,78500,73000,77600,180221,11.83,000150,Doosan Corp,naver-finance
2022-08-10,77500,82400,77400,79400,222517,11.64,000150,Doosan Corp,naver-finance
2022-08-11,80700,82600,79300,81700,139864,11.38,000150,Doosan Corp,naver-finance
2022-08-12,82000,85000,81700,83100,148382,11.13,000150,Doosan Corp,naver-finance
2022-08-16,84600,84700,81700,82400,107853,11.05,000150,Doosan Corp,naver-finance
2022-08-17,82300,83600,81800,82000,67114,11.05,000150,Doosan Corp,naver-finance
2022-08-18,81500,87000,81500,84300,167768,10.98,000150,Doosan Corp,naver-finance
2022-08-19,84300,85300,83300,83600,81060,10.87,000150,Doosan Corp,naver-finance
2022-08-22,82500,84400,81700,82800,58183,10.86,000150,Doosan Corp,naver-finance
2022-08-23,81900,86500,81500,85200,142445,10.47,000150,Doosan Corp,naver-finance
2022-08-24,85800,86300,83200,85500,108078,10.34,000150,Doosan Corp,naver-finance
2022-08-25,86000,88900,85400,86700,174042,10.1,000150,Doosan Corp,naver-finance
2022-08-26,88100,88700,85100,85400,131951,10.0,000150,Doosan Corp,naver-finance
2022-08-29,82900,85000,82400,83900,95230,10.09,000150,Doosan Corp,naver-finance
2022-08-30,83900,84500,81700,82300,91983,10.0,000150,Doosan Corp,naver-finance
2022-08-31,82000,85700,81500,82800,177383,9.7,000150,Doosan Corp,naver-finance
2022-09-01,82600,83100,78700,78700,123750,9.55,000150,Doosan Corp,naver-finance
2022-09-02,78300,79600,77100,78000,80609,9.65,000150,Doosan Corp,naver-finance
2022-09-05,77200,78800,76100,76900,62830,9.72,000150,Doosan Corp,naver-finance
2022-09-06,77100,77400,75100,76200,79493,9.78,000150,Doosan Corp,naver-finance
2022-09-07,75700,76000,72300,72600,100164,9.74,000150,Doosan Corp,naver-finance
2022-09-08,73000,73900,71800,72100,79397,9.7,000150,Doosan Corp,naver-finance
2022-09-13,73000,74000,72100,73500,50862,9.66,000150,Doosan Corp,naver-finance
2022-09-14,70600,71500,69400,71300,99290,9.68,000150,Doosan Corp,naver-finance
2022-09-15,74400,84800,73800,80400,617766,9.43,000150,Doosan Corp,naver-finance
2022-09-16,80900,90900,80300,84100,714779,9.27,000150,Doosan Corp,naver-finance
2022-09-19,84500,84500,76000,76100,265795,8.91,000150,Doosan Corp,naver-finance
2022-09-20,77500,88200,75400,86700,700272,8.42,000150,Doosan Corp,naver-finance
2022-09-21,85900,95000,85100,91000,762032,8.55,000150,Doosan Corp,naver-finance
2022-09-22,91400,95700,88900,92700,459452,8.04,000150,Doosan Corp,naver-finance
2022-09-23,93500,93500,86700,87800,312519,7.77,000150,Doosan Corp,naver-finance
2022-09-26,86400,88600,82500,83900,272367,7.87,000150,Doosan Corp,naver-finance
2022-09-27,84900,89000,82300,85400,454384,7.18,000150,Doosan Corp,naver-finance
2022-09-28,86800,86800,75100,75500,559898,6.38,000150,Doosan Corp,naver-finance
2022-09-29,78600,80300,75800,76000,318847,6.95,000150,Doosan Corp,naver-finance
2022-09-30,75300,81700,75100,81100,404240,6.93,000150,Doosan Corp,naver-finance
2022-10-04,82100,82500,76900,80000,352444,6.27,000150,Doosan Corp,naver-finance
2022-10-05,81700,82000,77100,77200,203969,6.1,000150,Doosan Corp,naver-finance
2022-10-06,78400,84500,78400,83500,343622,6.26,000150,Doosan Corp,naver-finance
2022-10-07,82700,87900,81500,85100,353591,6.15,000150,Doosan Corp,naver-finance
2022-10-11,82600,82600,78200,78900,256621,5.72,000150,Doosan Corp,naver-finance
2022-10-12,79700,82000,78300,80900,225722,5.47,000150,Doosan Corp,naver-finance
2022-10-13,81400,82300,75400,75900,260486,5.31,000150,Doosan Corp,naver-finance
2022-10-14,79100,80800,78500,78600,211255,5.36,000150,Doosan Corp,naver-finance
2022-10-17,76400,80000,75400,79900,164740,5.23,000150,Doosan Corp,naver-finance
2022-10-18,81800,84900,80800,84800,254167,5.37,000150,Doosan Corp,naver-finance
2022-10-19,84100,88200,83500,83600,231709,5.6,000150,Doosan Corp,naver-finance
2022-10-20,83900,85500,81900,82200,204660,5.44,000150,Doosan Corp,naver-finance
2022-10-21,82300,83200,78900,79500,216985,5.18,000150,Doosan Corp,naver-finance
2022-10-24,81600,83500,80900,81400,146575,5.3,000150,Doosan Corp,naver-finance
2022-10-25,81700,81900,77300,77500,267413,4.99,000150,Doosan Corp,naver-finance
2022-10-26,78300,78300,74100,75500,231178,4.9,000150,Doosan Corp,naver-finance
2022-10-27,75500,78400,74600,78300,158989,5.1,000150,Doosan Corp,naver-finance
2022-10-28,77300,78900,77100,77500,91264,5.24,000150,Doosan Corp,naver-finance
2022-10-31,78400,78500,76000,77400,78253,5.2,000150,Doosan Corp,naver-finance
2022-11-01,79500,87600,78100,87600,525083,6.08,000150,Doosan Corp,naver-finance
2022-11-02,87100,87200,81100,82400,256960,5.87,000150,Doosan Corp,naver-finance
2022-11-03,80500,87000,80500,86400,289739,6.18,000150,Doosan Corp,naver-finance
2022-11-04,86300,88200,84800,86900,141328,6.23,000150,Doosan Corp,naver-finance
2022-11-07,86400,89000,85100,88600,115755,6.23,000150,Doosan Corp,naver-finance
2022-11-08,88600,90500,86700,88600,143915,6.16,000150,Doosan Corp,naver-finance
2022-11-09,90300,94300,89900,92200,298870,6.37,000150,Doosan Corp,naver-finance
2022-11-10,91100,93400,90700,91500,129477,6.39,000150,Doosan Corp,naver-finance
2022-11-11,95200,95300,91200,92700,172211,6.34,000150,Doosan Corp,naver-finance
2022-11-14,92500,95700,91000,91200,131195,6.47,000150,Doosan Corp,naver-finance
2022-11-15,94100,95200,91900,92700,158943,6.76,000150,Doosan Corp,naver-finance
2022-11-16,93000,93500,90400,91700,91627,6.86,000150,Doosan Corp,naver-finance
2022-11-17,91700,92400,88800,88800,123691,6.81,000150,Doosan Corp,naver-finance
2022-11-18,88900,92900,88900,91700,123369,6.91,000150,Doosan Corp,naver-finance
2022-11-21,91300,95000,90300,93300,119819,6.87,000150,Doosan Corp,naver-finance
2022-11-22,93200,100500,92500,99700,337027,7.03,000150,Doosan Corp,naver-finance
2022-11-23,99700,100500,98000,98500,122848,6.83,000150,Doosan Corp,naver-finance
2022-11-24,98500,103000,97500,100500,142944,6.75,000150,Doosan Corp,naver-finance
2022-11-25,100500,104000,96800,97800,159573,6.67,000150,Doosan Corp,naver-finance
2022-11-28,97300,98700,95900,97700,93968,6.76,000150,Doosan Corp,naver-finance
2022-11-29,97500,99100,96500,97900,64192,6.68,000150,Doosan Corp,naver-finance
2022-11-30,97900,98400,97100,97300,85088,6.57,000150,Doosan Corp,naver-finance
2022-12-01,98400,98400,91500,92600,240011,6.69,000150,Doosan Corp,naver-finance
2022-12-02,92600,92600,85500,86700,384057,6.61,000150,Doosan Corp,naver-finance
2022-12-05,87900,88300,86200,87300,121609,6.56,000150,Doosan Corp,naver-finance
2022-12-06,86300,87100,84600,85100,82329,6.55,000150,Doosan Corp,naver-finance
2022-12-07,84900,86400,83000,85500,115779,6.55,000150,Doosan Corp,naver-finance
2022-12-08,85500,85800,83500,84200,90222,6.59,000150,Doosan Corp,naver-finance
2022-12-09,84700,85000,82500,84000,117423,6.66,000150,Doosan Corp,naver-finance
2022-12-12,83200,83900,81700,83100,67532,6.71,000150,Doosan Corp,naver-finance
2022-12-13,83500,86000,83000,84000,103614,6.62,000150,Doosan Corp,naver-finance
2022-12-14,84400,85700,83100,85100,90444,6.63,000150,Doosan Corp,naver-finance
2022-12-15,85000,87400,84400,86000,110410,6.53,000150,Doosan Corp,naver-finance
2022-12-16,84600,85500,84000,85400,65690,6.54,000150,Doosan Corp,naver-finance
2022-12-19,84600,85100,84100,84800,63199,6.53,000150,Doosan Corp,naver-finance
2022-12-20,84900,87200,84100,85800,120479,6.62,000150,Doosan Corp,naver-finance
2022-12-21,86800,87600,85400,85400,55373,6.59,000150,Doosan Corp,naver-finance
2022-12-22,86700,88400,85500,87000,141575,6.66,000150,Doosan Corp,naver-finance
2022-12-23,85500,86000,82900,84600,120064,6.49,000150,Doosan Corp,naver-finance
2022-12-26,84700,85300,82500,82900,102096,6.53,000150,Doosan Corp,naver-finance
2022-12-27,82800,83400,81600,82600,105229,6.63,000150,Doosan Corp,naver-finance
2022-12-28,81600,84300,81500,83600,115149,6.7,000150,Doosan Corp,naver-finance
2022-12-29,83600,84400,82400,83100,73877,6.65,000150,Doosan Corp,naver-finance
2023-01-02,83100,83600,75300,76800,180226,6.46,000150,Doosan Corp,naver-finance
2023-01-03,78000,82100,77100,81400,245355,6.69,000150,Doosan Corp,naver-finance
2023-01-04,80200,81900,79300,80900,63518,6.74,000150,Doosan Corp,naver-finance
2023-01-05,80900,81500,78300,79300,74972,6.74,000150,Doosan Corp,naver-finance
2023-01-06,78300,84500,78200,83900,150773,6.89,000150,Doosan Corp,naver-finance
2023-01-09,84800,87600,83700,87500,178286,7.0,000150,Doosan Corp,naver-finance
2023-01-10,87300,91700,87000,89600,248606,7.29,000150,Doosan Corp,naver-finance
2023-01-11,90300,91000,88400,88600,72250,7.22,000150,Doosan Corp,naver-finance
2023-01-12,89200,90600,88000,89400,91341,7.23,000150,Doosan Corp,naver-finance
2023-01-13,90000,91300,89000,91300,71921,7.36,000150,Doosan Corp,naver-finance
2023-01-16,91000,92400,87900,88500,143630,7.43,000150,Doosan Corp,naver-finance
2023-01-17,89000,91800,88100,89200,135410,7.61,000150,Doosan Corp,naver-finance
2023-01-18,89200,89300,85700,87800,140810,7.71,000150,Doosan Corp,naver-finance
2023-01-19,87800,90700,87200,89100,91267,7.71,000150,Doosan Corp,naver-finance
2023-01-20,89100,89800,87200,89300,84816,7.65,000150,Doosan Corp,naver-finance
2023-01-25,89900,93800,88700,93800,170575,7.61,000150,Doosan Corp,naver-finance
2023-01-26,93100,96200,90900,91300,300963,7.32,000150,Doosan Corp,naver-finance
2023-01-27,91600,95400,90400,93200,170672,7.4,000150,Doosan Corp,naver-finance
2023-01-30,93300,95200,91900,92700,128673,7.37,000150,Doosan Corp,naver-finance
2023-01-31,92700,94100,92000,92600,93296,7.42,000150,Doosan Corp,naver-finance
2023-02-01,92600,93400,89800,90400,146331,7.48,000150,Doosan Corp,naver-finance
2023-02-02,91200,91300,89000,90300,138533,7.55,000150,Doosan Corp,naver-finance
2023-02-03,90500,90800,89100,89200,84382,7.56,000150,Doosan Corp,naver-finance
2023-02-06,89300,90100,87600,87700,96910,7.64,000150,Doosan Corp,naver-finance
2023-02-07,87700,88400,86600,87400,70624,7.63,000150,Doosan Corp,naver-finance
2023-02-08,87900,89000,86400,88900,117122,7.66,000150,Doosan Corp,naver-finance
2023-02-09,88300,89300,87700,87700,80817,7.54,000150,Doosan Corp,naver-finance
2023-02-10,88100,89700,86100,86300,145629,7.43,000150,Doosan Corp,naver-finance
2023-02-13,86500,87700,85600,87400,86133,7.44,000150,Doosan Corp,naver-finance
2023-02-14,88000,88200,86400,86800,73151,7.41,000150,Doosan Corp,naver-finance
2023-02-15,86600,87000,84200,84300,93551,7.39,000150,Doosan Corp,naver-finance
2023-02-16,84600,85900,84300,85400,67698,7.46,000150,Doosan Corp,naver-finance
2023-02-17,84500,86800,83800,86000,52329,7.5,000150,Doosan Corp,naver-finance
2023-02-20,86000,86400,85100,85800,44199,7.46,000150,Doosan Corp,naver-finance
2023-02-21,86000,88800,85300,88200,129907,7.61,000150,Doosan Corp,naver-finance
2023-02-22,87200,87700,85300,85600,93538,7.54,000150,Doosan Corp,naver-finance
2023-02-23,86300,92300,85700,91100,330387,7.75,000150,Doosan Corp,naver-finance
2023-02-24,90600,93900,89900,90400,183889,7.76,000150,Doosan Corp,naver-finance
2023-02-27,94500,104000,93500,100000,1214064,8.32,000150,Doosan Corp,naver-finance
2023-02-28,99500,103000,98600,101000,332428,8.23,000150,Doosan Corp,naver-finance
2023-03-02,101000,102000,98600,99700,201916,8.36,000150,Doosan Corp,naver-finance
2023-03-03,100400,104700,99700,101500,330574,8.43,000150,Doosan Corp,naver-finance
2023-03-06,103000,109000,101400,105400,425263,8.55,000150,Doosan Corp,naver-finance
2023-03-07,105400,107200,102200,106500,222596,8.42,000150,Doosan Corp,naver-finance
2023-03-08,105700,107900,104000,104600,166663,8.48,000150,Doosan Corp,naver-finance
