date,open,high,low,close,adj_close,volume,foreign_ownership,code,name,source
2022-07-11,133.58999633789062,134.60000610351562,131.32000732421875,132.24000549316406,121.29129028320312,5887200,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-12,133.74000549316406,135.35000610351562,131.9600067138672,132.9499969482422,121.94252014160156,5991300,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-13,130.5500030517578,136.77999877929688,130.52000427246094,135.63999938964844,124.40982055664062,7200200,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-14,134.94000244140625,142.35000610351562,133.85000610351562,141.89999389648438,130.15150451660156,10718700,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-15,143.75999450683594,145.47999572753906,142.02999877929688,144.3699951171875,132.41702270507812,11880500,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-18,145.97000122070312,146.42999267578125,140.82000732421875,141.69000244140625,129.95892333984375,7856600,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-19,144.13999938964844,148.47000122070312,143.17999267578125,147.3699951171875,135.16859436035156,9686500,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-20,147.42999267578125,152.3300018310547,146.6199951171875,151.7100067138672,139.1492919921875,8517400,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-21,152.8800048828125,155.9199981689453,150.6300048828125,155.86000061035156,142.95571899414062,8060400,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-22,155.66000366210938,156.66000366210938,152.35000610351562,153.6999969482422,140.97454833984375,7200100,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-25,152.8000030517578,154.0399932861328,151.6699981689453,153.25,140.56179809570312,4928900,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-26,152.6199951171875,152.6999969482422,149.80999755859375,149.97000122070312,137.5533447265625,5941800,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-27,151.52999877929688,154.8000030517578,150.5500030517578,153.4199981689453,140.71771240234375,12863000,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-28,149.77999877929688,149.99000549316406,143.0,146.4499969482422,134.32479858398438,17051000,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-07-29,144.60000610351562,145.30999755859375,140.6699981689453,145.05999755859375,133.04989624023438,11749400,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-01,144.30999755859375,149.4600067138672,144.07000732421875,147.42999267578125,135.2236328125,7611400,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-02,145.69000244140625,149.39999389648438,144.83999633789062,147.02999877929688,134.85678100585938,5946400,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-03,147.66000366210938,150.33999633789062,146.58999633789062,149.16000366210938,136.81039428710938,6890200,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-04,148.67999267578125,151.16000366210938,147.7100067138672,151.00999450683594,138.5072479248047,6254700,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-05,148.57000732421875,151.27999877929688,147.6699981689453,150.2100067138672,137.77349853515625,5041300,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-08,149.80999755859375,151.19000244140625,146.5500030517578,147.80999755859375,135.5722198486328,5553300,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-09,145.58999633789062,146.5,141.30999755859375,142.50999450683594,130.7110137939453,6770800,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-10,145.85000610351562,147.17999267578125,143.69000244140625,146.99000549316406,134.820068359375,6840000,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-11,148.30999755859375,151.63999938964844,147.02000427246094,147.8300018310547,135.59051513671875,6243200,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-12,148.0,151.47000122070312,147.17999267578125,151.2899932861328,138.76405334472656,4967500,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-15,150.32000732421875,152.6999969482422,148.39999389648438,152.1300048828125,139.53453063964844,4502900,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-16,151.4499969482422,152.49000549316406,148.85000610351562,150.02999877929688,137.60841369628906,5270800,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-17,148.22999572753906,149.6300048828125,146.36000061035156,148.52999877929688,136.23257446289062,5169600,,QCOM.US,Qualcomm,yahoo-finance-chart
2022-08-18,148.07000732421875,152.91000366210938,147.75999450683594,151.3800048828125,138.84661865234375,7808200,,QCOM.US,Qualcomm,yahoo-finance-chart
