date,open,high,low,close,volume,foreign_ownership,code,name,source
2022-09-07,19050,19200,18700,18700,31420,1.73,090360,Robostar,naver-finance
2022-09-08,18950,19550,18900,19100,38757,1.73,090360,Robostar,naver-finance
2022-09-13,19500,20100,19400,20100,61017,1.85,090360,Robostar,naver-finance
2022-09-14,19100,20150,19100,20050,63478,1.99,090360,Robostar,naver-finance
2022-09-15,20500,20700,19900,20200,69881,2.05,090360,Robostar,naver-finance
2022-09-16,20150,21050,20050,20400,156874,2.08,090360,Robostar,naver-finance
2022-09-19,20500,20950,19950,20000,85445,1.92,090360,Robostar,naver-finance
2022-09-20,20250,21600,20150,21600,368127,2.31,090360,Robostar,naver-finance
2022-09-21,21350,21550,20750,21100,139474,2.11,090360,Robostar,naver-finance
2022-09-22,20800,21750,20650,21550,145165,2.17,090360,Robostar,naver-finance
2022-09-23,21500,21550,20650,21000,125937,2.16,090360,Robostar,naver-finance
2022-09-26,20600,20600,19200,19400,118068,2.04,090360,Robostar,naver-finance
2022-09-27,19350,19600,18700,19200,85507,1.91,090360,Robostar,naver-finance
2022-09-28,18950,19150,17650,17700,101975,1.86,090360,Robostar,naver-finance
2022-09-29,18200,18400,17250,17250,77291,1.84,090360,Robostar,naver-finance
2022-09-30,16750,17450,16750,17100,61335,1.92,090360,Robostar,naver-finance
2022-10-04,17400,17850,17400,17800,38483,1.88,090360,Robostar,naver-finance
2022-10-05,18100,18300,17500,17650,37087,1.85,090360,Robostar,naver-finance
2022-10-06,17800,18400,17750,18200,51449,1.94,090360,Robostar,naver-finance
2022-10-07,18200,18750,18000,18250,46532,1.99,090360,Robostar,naver-finance
2022-10-11,17900,17950,17200,17450,67184,2.0,090360,Robostar,naver-finance
2022-10-12,17300,17700,17200,17350,33130,1.95,090360,Robostar,naver-finance
2022-10-13,17150,17350,16350,16550,59148,1.77,090360,Robostar,naver-finance
2022-10-14,16950,17150,16750,17000,32208,1.76,090360,Robostar,naver-finance
2022-10-17,16800,17850,16750,17850,66226,1.9,090360,Robostar,naver-finance
2022-10-18,18200,18300,17850,18150,56486,1.91,090360,Robostar,naver-finance
2022-10-19,18300,18500,17950,18250,40751,1.89,090360,Robostar,naver-finance
2022-10-20,18250,18300,17650,17750,24364,1.88,090360,Robostar,naver-finance
2022-10-21,17900,18750,17650,17700,82990,1.88,090360,Robostar,naver-finance
2022-10-24,18150,18300,17750,17900,38358,1.88,090360,Robostar,naver-finance
2022-10-25,18000,18200,17750,17950,24234,1.86,090360,Robostar,naver-finance
2022-10-26,17950,18150,17300,17350,38079,1.82,090360,Robostar,naver-finance
2022-10-27,17350,17650,17250,17550,34579,1.95,090360,Robostar,naver-finance
2022-10-28,17350,17600,17200,17350,25333,1.94,090360,Robostar,naver-finance
2022-10-31,17650,17700,17300,17450,25889,1.97,090360,Robostar,naver-finance
2022-11-01,17300,18050,17300,17900,41207,2.1,090360,Robostar,naver-finance
2022-11-02,17750,17900,17550,17700,24654,2.08,090360,Robostar,naver-finance
2022-11-03,17600,18350,17550,18150,61954,2.13,090360,Robostar,naver-finance
2022-11-04,18150,18250,17850,18150,32811,2.1,090360,Robostar,naver-finance
2022-11-07,18250,18400,17950,18250,37496,2.1,090360,Robostar,naver-finance
2022-11-08,18250,18650,18250,18450,59098,2.24,090360,Robostar,naver-finance
2022-11-09,18500,19200,18400,18850,108498,2.09,090360,Robostar,naver-finance
2022-11-10,18750,18800,18300,18650,27828,2.12,090360,Robostar,naver-finance
2022-11-11,19300,19450,18650,18950,86076,2.11,090360,Robostar,naver-finance
2022-11-14,19100,19450,18800,19000,73095,2.18,090360,Robostar,naver-finance
2022-11-15,19300,19450,19200,19350,51723,2.33,090360,Robostar,naver-finance
2022-11-16,19450,19500,19000,19300,42046,2.35,090360,Robostar,naver-finance
2022-11-17,19300,20200,19250,19600,192418,2.04,090360,Robostar,naver-finance
2022-11-18,19600,20350,19550,19550,103564,1.95,090360,Robostar,naver-finance
2022-11-21,19600,19950,19300,19550,59256,1.96,090360,Robostar,naver-finance
2022-11-22,19250,20200,19200,20050,138460,2.02,090360,Robostar,naver-finance
2022-11-23,20400,20600,19900,19950,96326,1.98,090360,Robostar,naver-finance
2022-11-24,20050,20200,19650,20100,70274,2.03,090360,Robostar,naver-finance
2022-11-25,20000,20150,19750,19850,29378,1.97,090360,Robostar,naver-finance
2022-11-28,19750,19750,19200,19350,42432,1.92,090360,Robostar,naver-finance
2022-11-29,19350,21100,19200,20400,239669,2.06,090360,Robostar,naver-finance
2022-11-30,20250,20800,20150,20400,72724,2.11,090360,Robostar,naver-finance
2022-12-01,20800,20900,20250,20450,62584,2.01,090360,Robostar,naver-finance
2022-12-02,20400,21100,20200,20950,149645,2.14,090360,Robostar,naver-finance
2022-12-05,21100,21100,20300,20400,66768,1.86,090360,Robostar,naver-finance
2022-12-06,20350,20350,19800,19800,55766,1.84,090360,Robostar,naver-finance
2022-12-07,19550,19950,19350,19750,43095,1.82,090360,Robostar,naver-finance
2022-12-08,20200,20750,19800,20200,160799,1.61,090360,Robostar,naver-finance
2022-12-09,20450,20500,19650,19900,53050,1.56,090360,Robostar,naver-finance
2022-12-12,19650,19900,19550,19600,23357,1.56,090360,Robostar,naver-finance
2022-12-13,19700,20150,19700,19850,54738,1.62,090360,Robostar,naver-finance
2022-12-14,19750,20100,19750,20100,29727,1.66,090360,Robostar,naver-finance
2022-12-15,20050,20400,19850,19900,27966,1.65,090360,Robostar,naver-finance
