date,open,high,low,close,volume,foreign_ownership,code,name
2021-09-28,81000,84300,80900,84000,550275,17.21,263750,Pearl Abyss
2021-09-29,81800,83000,80100,80700,596039,17.1,263750,Pearl Abyss
2021-09-30,81500,81800,79800,80400,503637,16.86,263750,Pearl Abyss
2021-10-01,79700,87300,79700,85300,2035462,16.94,263750,Pearl Abyss
2021-10-05,84100,88800,82400,85900,1061933,16.87,263750,Pearl Abyss
2021-10-06,86600,89100,82800,85400,1042652,16.69,263750,Pearl Abyss
2021-10-07,85500,91400,85500,90700,1340832,16.78,263750,Pearl Abyss
2021-10-08,91500,92300,87700,88000,747401,16.69,263750,Pearl Abyss
2021-10-12,87000,91300,86000,89800,737350,16.73,263750,Pearl Abyss
2021-10-13,90300,96700,90300,92700,1599214,16.54,263750,Pearl Abyss
2021-10-14,91900,95500,91300,94800,724753,16.4,263750,Pearl Abyss
2021-10-15,94300,95100,91700,94000,684929,16.32,263750,Pearl Abyss
2021-10-18,93600,96500,90800,90900,861572,16.27,263750,Pearl Abyss
2021-10-19,91100,99500,90300,97800,1756572,16.44,263750,Pearl Abyss
2021-10-20,97300,103100,95200,95800,1457461,16.22,263750,Pearl Abyss
2021-10-21,96200,108200,95200,107500,2939730,16.35,263750,Pearl Abyss
2021-10-22,106600,109300,105100,107000,1275031,16.22,263750,Pearl Abyss
2021-10-25,107000,112200,103000,108300,1400286,16.11,263750,Pearl Abyss
2021-10-26,108300,117800,108000,110400,2148101,16.09,263750,Pearl Abyss
2021-10-27,110400,116600,107800,114800,1149880,16.19,263750,Pearl Abyss
2021-10-28,115000,116900,103900,105000,1760247,16.14,263750,Pearl Abyss
2021-10-29,105200,107900,102600,103900,958415,16.14,263750,Pearl Abyss
2021-11-01,102900,110100,102300,109200,1056385,16.17,263750,Pearl Abyss
2021-11-02,105000,107700,103500,106200,978520,16.28,263750,Pearl Abyss
2021-11-03,105500,107700,103300,105000,596342,16.37,263750,Pearl Abyss
2021-11-04,105000,107100,101100,103200,717158,16.43,263750,Pearl Abyss
2021-11-05,105200,111700,103600,110200,1417986,16.4,263750,Pearl Abyss
2021-11-08,110200,120100,109300,114100,1829284,16.23,263750,Pearl Abyss
2021-11-09,114000,116100,111800,114300,829808,16.19,263750,Pearl Abyss
2021-11-10,114300,123900,114300,114900,2196506,16.19,263750,Pearl Abyss
2021-11-11,115500,124800,113500,121800,2240514,16.25,263750,Pearl Abyss
2021-11-12,123100,124200,115400,120000,1224952,16.12,263750,Pearl Abyss
