date,event_day,return,market_return,industry_return,abnormal_return,asset,case,expected_return,cumulative_abnormal_return
2021-08-03,-5,-0.018248175182481785,0.004374751787132647,-0.04266071724736231,-0.011616455951031914,Netmarble,Krafton IPO,-0.006631719231449871,-0.011616455951031914
2021-08-04,-4,0.018587360594795488,0.013357469865375116,0.0005293492834630431,0.009655543285295108,Netmarble,Krafton IPO,0.00893181730950038,-0.0019609126657368064
2021-08-05,-3,-0.007299270072992692,-0.001295581609447649,0.013672038072973125,-0.007926622756237825,Netmarble,Krafton IPO,0.0006273526832451331,-0.009887535421974632
2021-08-06,-2,0.003676470588235281,-0.0017612243714382192,-0.0018605328335796756,0.0065725589015072075,Netmarble,Krafton IPO,-0.0028960883132719264,-0.0033149765204674242
2021-08-09,-1,-0.01098901098901095,-0.003039420736555054,-0.009698442505246874,-0.005532499771362909,Netmarble,Krafton IPO,-0.005456511217648041,-0.008847476291830334
2021-08-10,0,-0.0037037037037036535,-0.005284595236196621,-0.0035456568303284253,0.0021793954852732745,Netmarble,Krafton IPO,-0.005883099188976928,-0.00666808080655706
2021-08-11,1,0.014869888475836479,-0.006959197580160281,-0.02742846171971136,0.026889618904531374,Netmarble,Krafton IPO,-0.012019730428694895,0.020221538097974313
2021-08-12,2,-0.03296703296703296,-0.00380051046071872,0.00648226740967639,-0.030246325116171136,Netmarble,Krafton IPO,-0.0027207078508618256,-0.010024787018196823
2021-08-13,3,-0.037878787878787845,-0.011560351329954699,-0.045446595467911355,-0.01872590494502584,Netmarble,Krafton IPO,-0.019152882933762005,-0.028750691963222663
2021-08-17,4,-0.015748031496062964,-0.008892280428469124,-0.023692928129050828,-0.003041809037045942,Netmarble,Krafton IPO,-0.012706222459017022,-0.031792501000268605
2021-08-18,5,0.03600000000000003,0.005039626609482983,0.018306196718421375,0.029674009681700673,Netmarble,Krafton IPO,0.00632599031829936,-0.0021184913185679326
2021-08-19,6,-0.02316602316602312,-0.019341992383496875,0.07952116678405752,-0.02371472439890575,Netmarble,Krafton IPO,0.000548701232882632,-0.025833215717473684
2021-08-20,7,-0.011857707509881465,-0.012047142677293343,0.010099431201424147,-0.0036909490888771233,Netmarble,Krafton IPO,-0.008166758421004342,-0.029524164806350808
2021-08-23,8,0.03200000000000003,0.009704264975445298,0.008648501176550805,0.02414899835336659,Netmarble,Krafton IPO,0.007851001646633436,-0.005375166452984217
2021-08-24,9,0.023255813953488413,0.015562049181123694,0.01602813388403157,0.009503200754367913,Netmarble,Krafton IPO,0.0137526131991205,0.004128034301383697
2021-08-25,10,0.03409090909090917,0.0027116591785361077,-0.024472651270200374,0.038253138871638864,Netmarble,Krafton IPO,-0.004162229780729691,0.04238117317302256
2021-08-26,11,-0.06959706959706957,-0.00580905742640947,0.051393582522614834,-0.07454783915982303,Netmarble,Krafton IPO,0.004950769562753459,-0.03216666598680047
2021-08-27,12,0.003937007874015741,0.0017164610855577855,-0.029003820535901947,0.009771646168072906,Netmarble,Krafton IPO,-0.005834638294057165,-0.022395019818727567
2021-08-30,13,-0.019607843137254943,0.0032834487379942434,0.06544645445090447,-0.03425009656814421,Netmarble,Krafton IPO,0.01464225343088927,-0.05664511638687178
2021-08-31,14,0.03200000000000003,0.01751802531017521,-0.029270521768029245,0.026037449916137337,Netmarble,Krafton IPO,0.005962550083862693,-0.030607666470734443
2021-09-01,15,-0.011627906976744207,0.0024224276163000713,-0.04287493171374401,-0.003488104391372291,Netmarble,Krafton IPO,-0.008139802585371916,-0.03409577086210673
2021-09-02,16,-0.0117647058823529,-0.009719303278432956,-0.01431290178297362,-0.00035506570730553175,Netmarble,Krafton IPO,-0.011409640175047368,-0.034450836569412266
2021-09-03,17,0.0,0.007938032337799328,-0.003545926427443058,-0.004034249473589066,Netmarble,Krafton IPO,0.004034249473589066,-0.03848508604300133
2021-09-06,18,0.0,0.0007091400973426865,-0.005863438623037676,0.0018612569208772494,Netmarble,Krafton IPO,-0.0018612569208772494,-0.036623829122124085
2021-09-07,19,-0.007936507936507908,-0.004966706521026487,-0.023334879969951094,0.0017522357772203848,Netmarble,Krafton IPO,-0.009688743713728293,-0.0348715933449037
2021-09-08,20,0.0,-0.007664506089564704,-0.009786586778263329,0.008943489638604618,Netmarble,Krafton IPO,-0.008943489638604618,-0.025928103706299083
