date,open,high,low,close,volume,foreign_ownership,code,name
2021-05-07,806000,844000,806000,830000,95745,52.07,036570,NCSoft
2021-05-10,816000,885000,810000,878000,257577,52.47,036570,NCSoft
2021-05-11,869000,869000,843000,850000,107129,52.46,036570,NCSoft
2021-05-12,848000,851000,838000,847000,82939,52.46,036570,NCSoft
2021-05-13,846000,847000,835000,841000,106031,52.48,036570,NCSoft
2021-05-14,833000,842000,831000,831000,91373,52.43,036570,NCSoft
2021-05-17,828000,835000,804000,815000,84788,52.3,036570,NCSoft
2021-05-18,818000,834000,816000,823000,72893,52.21,036570,NCSoft
2021-05-20,822000,835000,806000,822000,107149,52.24,036570,NCSoft
2021-05-21,832000,854000,832000,853000,146618,52.23,036570,NCSoft
2021-05-24,851000,851000,832000,846000,68299,52.22,036570,NCSoft
2021-05-25,841000,865000,841000,859000,72102,52.18,036570,NCSoft
2021-05-26,860000,873000,850000,856000,58256,52.16,036570,NCSoft
2021-05-27,856000,870000,848000,851000,134891,52.12,036570,NCSoft
2021-05-28,842000,863000,842000,852000,69042,52.09,036570,NCSoft
2021-05-31,867000,875000,857000,868000,80686,52.14,036570,NCSoft
2021-06-01,873000,877000,864000,872000,54286,52.08,036570,NCSoft
2021-06-02,873000,879000,850000,854000,62526,52.05,036570,NCSoft
2021-06-03,854000,859000,846000,851000,50460,52.06,036570,NCSoft
2021-06-04,842000,849000,834000,843000,74482,52.03,036570,NCSoft
2021-06-07,840000,852000,838000,843000,50361,52.04,036570,NCSoft
2021-06-08,841000,853000,839000,843000,43630,52.01,036570,NCSoft
2021-06-09,844000,870000,843000,858000,78067,52.07,036570,NCSoft
2021-06-10,860000,864000,846000,849000,81019,52.08,036570,NCSoft
2021-06-11,851000,861000,838000,841000,89254,52.1,036570,NCSoft
2021-06-14,841000,864000,840000,858000,55683,52.13,036570,NCSoft
2021-06-15,860000,869000,850000,853000,70241,52.12,036570,NCSoft
2021-06-16,848000,857000,843000,848000,52423,52.11,036570,NCSoft
2021-06-17,843000,844000,822000,824000,128351,51.9,036570,NCSoft
2021-06-18,827000,831000,818000,818000,87955,51.83,036570,NCSoft
