date,open,high,low,close,volume,foreign_ownership,code,name
2023-07-03,92200,95400,92200,94600,191716,2.22,277810,Rainbow Robotics
2023-07-04,94800,95900,92700,95000,177294,2.23,277810,Rainbow Robotics
2023-07-05,94600,95800,93000,95500,170432,2.32,277810,Rainbow Robotics
2023-07-06,95700,95700,92000,92200,168773,2.19,277810,Rainbow Robotics
2023-07-07,92300,93400,91100,91100,126827,2.21,277810,Rainbow Robotics
2023-07-10,91100,91700,87800,89600,226717,2.37,277810,Rainbow Robotics
2023-07-11,89600,92800,89500,92100,151891,2.58,277810,Rainbow Robotics
2023-07-12,92100,93000,89800,91100,164512,2.55,277810,Rainbow Robotics
2023-07-13,91100,92000,90200,90400,163983,2.52,277810,Rainbow Robotics
2023-07-14,90900,91700,88900,91400,229665,2.66,277810,Rainbow Robotics
2023-07-17,91100,100200,89400,98400,1408986,2.71,277810,Rainbow Robotics
2023-07-18,97400,97400,93200,93500,420291,2.5,277810,Rainbow Robotics
2023-07-19,94000,97400,91800,95400,516935,2.59,277810,Rainbow Robotics
2023-07-20,95000,99000,93000,97900,347568,2.64,277810,Rainbow Robotics
2023-07-21,96600,105000,95700,98700,1458720,2.68,277810,Rainbow Robotics
2023-07-24,101000,104900,99400,104100,1014649,2.73,277810,Rainbow Robotics
2023-07-25,104900,104900,99500,99600,542145,2.48,277810,Rainbow Robotics
2023-07-26,100800,101000,92300,93000,820997,2.48,277810,Rainbow Robotics
2023-07-27,92500,100900,92500,95500,894477,2.68,277810,Rainbow Robotics
2023-07-28,97900,101200,95600,99800,702301,3.05,277810,Rainbow Robotics
2023-07-31,101500,117200,99800,113900,3612339,3.93,277810,Rainbow Robotics
2023-08-01,115200,119900,112600,119000,1943909,3.71,277810,Rainbow Robotics
2023-08-02,122300,126600,114000,115300,2082341,3.6,277810,Rainbow Robotics
2023-08-03,115300,120100,109900,111300,1106952,3.12,277810,Rainbow Robotics
2023-08-04,111500,135400,109200,134000,4988648,3.54,277810,Rainbow Robotics
2023-08-07,134000,153400,130600,141000,6556908,3.32,277810,Rainbow Robotics
2023-08-08,139500,144900,134400,144500,2466912,3.55,277810,Rainbow Robotics
2023-08-09,145100,149200,140100,142800,1752101,3.64,277810,Rainbow Robotics
2023-08-10,141500,147400,138000,138000,1475952,3.9,277810,Rainbow Robotics
2023-08-11,139200,147000,135400,137000,1787986,3.87,277810,Rainbow Robotics
2023-08-14,135800,141000,134600,139000,863553,4.08,277810,Rainbow Robotics
2023-08-16,137200,137600,120100,121100,1736557,3.58,277810,Rainbow Robotics
2023-08-17,119600,122000,118600,119600,852596,3.68,277810,Rainbow Robotics
2023-08-18,116900,118100,112800,114000,826566,4.19,277810,Rainbow Robotics
2023-08-21,114400,115400,110300,111100,541500,4.28,277810,Rainbow Robotics
2023-08-22,112400,112900,108000,108900,466187,4.05,277810,Rainbow Robotics
2023-08-23,109900,112400,107200,108200,495489,3.82,277810,Rainbow Robotics
2023-08-24,110000,114600,108000,112100,717002,3.46,277810,Rainbow Robotics
