case,listing_date,asset,code,market,alpha,beta_market,beta_industry,beta_smb,beta_hml,factor_model,r_squared,n_estimation,sigma,car_m1_p1,t_m1_p1,p_m1_p1,car_0_p1,t_0_p1,p_0_p1,car_0_p5,t_0_p5,p_0_p5,car_0_p20,t_0_p20,p_0_p20,car_0_p60,t_0_p60,p_0_p60,car_0_p120,t_0_p120,p_0_p120
Arm Holdings IPO,2023-09-14,Synopsys,SNPS.US,Nasdaq 100 ETF,0.00023461543040912065,0.048920251808028614,0.761689485269602,-0.1970611960785503,-0.24445962045072483,market_industry_smb_hml,0.7069721427081602,231,0.01120235272818509,-6.786871315568599e-05,-0.0034978384238341215,0.9972091344164222,-0.012697074613482785,-0.8014555315542012,0.42286797786768027,0.004201387462041452,0.15311151956849822,0.8783103316911185,0.03245188468384582,0.6321512972960857,0.5272880181258346,0.03225316659526696,0.36863638549997063,0.7123987710186568,-0.17598107056839946,-1.4281177830019707,0.15325795982639479
Arm Holdings IPO,2023-09-14,Cadence,CDNS.US,Nasdaq 100 ETF,0.00028922911304843287,0.1642001587815637,0.6602276797270836,-0.3209599080040068,-0.18978816166494727,market_industry_smb_hml,0.650777494435302,231,0.012126608937198692,-0.0065721918826987785,-0.3129033658372884,0.7543540803305948,-0.010466549534852163,-0.6103081405566072,0.5416577054001288,-0.0033403617020445614,-0.11245492960587487,0.9104627039586848,0.012718466016101037,0.2288683370136669,0.8189712508183487,-0.038714071829468795,-0.4087563961379181,0.6827184421038592,-0.10161515765946996,-0.7617745120046994,0.4461945950150972
Snowflake IPO,2020-09-16,Datadog,DDOG.US,Nasdaq 100 ETF,0.0022908710594196423,-0.3920751329285936,1.2549872324753453,0.5064735581599829,-0.37462010053716477,market_industry_smb_hml,0.34812927494596524,230,0.037096175764239785,0.02150365206428698,0.334674371471039,0.7378707362579286,0.002095197030768381,0.03993748675857889,0.9681429648200697,0.023926643843741453,0.26331586058424367,0.7923071359460709,0.09536093228822565,0.560959749250864,0.5748249768071358,-0.11482178360897427,-0.39630561961578736,0.6918795820644799,-0.43474649505366914,-1.0654038543601498,0.28669321332249
Snowflake IPO,2020-09-16,MongoDB,MDB.US,Nasdaq 100 ETF,-0.0009520973647944868,0.2956213634774525,0.8874362111286652,1.1105464223234869,-0.6899560477211768,market_industry_smb_hml,0.6093180977184772,231,0.0246872238157472,-0.018396905498871637,-0.4302411004697318,0.6670202672437648,0.008404640672267288,0.2407309326132339,0.809763663102463,0.06582405188939616,1.088520801521208,0.27636525859386785,0.07841338324598957,0.6931197766875455,0.4882343875569095,0.3104948655778581,1.6103387776804037,0.10732391806683661,0.34459552266307714,1.2689505280322753,0.20445870929035603
Snowflake IPO,2020-09-16,Salesforce,CRM.US,Nasdaq 100 ETF,-0.0006901239240483947,0.7916926344236651,0.29133102219639107,0.28956997248426625,-0.07874799766512455,market_industry_smb_hml,0.7705881633515795,231,0.013290899973633061,0.003255580095359329,0.14142082538826795,0.88753750332353,0.0025294606336128886,0.13457318694146952,0.8929493424498025,-0.01461161080725743,-0.4488157419602923,0.6535645818564821,-0.035846964407418205,-0.5885567538594039,0.5561586515595751,-0.21818652093397511,-2.1018833517083038,0.03556349525240998,-0.2544619575503548,-1.7405070595476815,0.0817700215555317
Snowflake IPO,2020-09-16,ServiceNow,NOW.US,Nasdaq 100 ETF,0.00016165267781074848,0.8204619439352102,0.338222292176508,-0.05754641755019168,-0.1508718239856136,market_industry_smb_hml,0.6431741076997883,231,0.019303733089996153,0.00393472667661144,0.11768270392769244,0.9063190718049701,-0.007607871029401109,-0.2786806660764535,0.7804899011686901,0.01518758688012526,0.32119727055777314,0.748060900432653,-0.0008275268289599444,-0.009354727289661047,0.9925361163871074,0.03453974213602064,0.2290935538823151,0.8187962035036107,-0.07115796104434474,-0.335111634590425,0.7375408766622429
Snowflake IPO,2020-09-16,Oracle,ORCL.US,Nasdaq 100 ETF,-0.0006005240716941344,0.8783245094471671,0.022798634281852193,-0.7029418744487282,0.3493114588980893,market_industry_smb_hml,0.6694754464032481,231,0.015095346673360557,0.03518299168970751,1.3456404919004683,0.17841848632173507,0.01960278009856808,0.9182471285848492,0.35848950032552485,0.018903063790246474,0.5112266477798928,0.6091923612506736,0.0034678480326857976,0.05013110978677928,0.9600179088727707,0.008936289992908162,0.07579651621295318,0.9395809878128569,0.2391415870763868,1.4401884733152466,0.14981408344702762
Rivian IPO,2021-11-10,Tesla,TSLA.US,S&P 500 ETF,0.0024207183374885042,1.0201900069969252,0.3225948929423998,0.7003870680866764,-0.986140511835922,market_industry_smb_hml,0.39335958819746797,231,0.02674852557953753,-0.05749655018113853,-1.2410272344113666,0.21459568821855113,0.044622286669165276,1.1796060086375189,0.23815695204054776,0.04733908520193523,0.7225108744161051,0.46998044203984835,0.017092830708127928,0.1394454974423734,0.8890981217730387,0.17091939811373802,0.8181380461296397,0.41327836638332016,0.2554660949165322,0.8682418916100499,0.38526192552716876
Rivian IPO,2021-11-10,Ford,F.US,S&P 500 ETF,0.0009048443305896256,0.9461301487621464,0.15649055628745676,0.6276585514210501,0.8197427260082707,market_industry_smb_hml,0.38118349083323644,231,0.019810714277253238,-0.0322637895414413,-0.9402744048566067,0.3470768248929885,-0.04034262066499329,-1.439955180001138,0.14988007994882357,-0.014964480483422216,-0.30837977316404,0.7577933711810194,-0.0212817193231326,-0.23442122410603197,0.8146579831840728,-0.14055182974299169,-0.9083881326689544,0.36367319343526816,-0.34269067582715007,-1.5725681248272316,0.11581885324032593
Rivian IPO,2021-11-10,General Motors,GM.US,S&P 500 ETF,-0.0004197732603481017,0.9902102040063541,0.19066682427779608,0.4634080099464272,0.873532743636349,market_industry_smb_hml,0.4356015995242354,231,0.01793286937447664,0.041469428183365346,1.3351118008411067,0.1818397577083002,0.04594945415028922,1.8118221876825602,0.07001367562109229,0.09952037977808686,2.265617624391138,0.023474805048474767,0.04428108612927252,0.538838765325592,0.5899981126297673,-0.12433858156834289,-0.887751073564998,0.37467466621821544,-0.2770305742966872,-1.404381927812386,0.16020514948261866
Rivian IPO,2021-11-10,NIO,NIO.US,S&P 500 ETF,-0.0020171101722091206,-0.44447719612788794,1.179923653832288,0.7234745258235119,-1.0190109674945238,market_industry_smb_hml,0.5803236226028282,231,0.028852904918181432,0.019278004410575006,0.3857553015007057,0.6996779020236488,0.013746099260685873,0.3368797710198466,0.7362075352883579,-0.06815002464858455,-0.9642748671840968,0.3349081378867924,-0.06457283470670545,-0.48837189171116807,0.6252864477069897,0.0557908679236393,0.24757606479997013,0.8044624317939919,0.17421596336855247,0.5489157814992317,0.5830632473470725
Rivian IPO,2021-11-10,XPeng,XPEV.US,S&P 500 ETF,0.0006162775749611905,-1.5002385767138027,1.7251554441581385,0.14691633927090997,-0.8424424335433309,market_industry_smb_hml,0.4111047964817638,231,0.044766915627242644,0.05060723405407892,0.6526717285450947,0.5139679323727899,0.02668586963026366,0.4215112681548357,0.6733817847305192,0.03450986269950258,0.31470992034664624,0.7529819113776028,0.15230125622196636,0.7423977807580724,0.45784636376123045,0.2863304272382586,0.8189274159225295,0.4128278269437229,0.22966070485085882,0.466376689191142,0.6409458941110409
