date,event_day,return,market_return,industry_return,smb,hml,abnormal_return,asset,case,expected_return,cumulative_abnormal_return
2023-09-07,-5,-0.07220089603473068,-0.007151605768322411,-0.019911874031499854,-0.0062,0.0004,-0.0562153454173355,Qualcomm,Arm Holdings IPO,-0.01598555061739518,-0.0562153454173355
2023-09-08,-4,-0.0024436290648663928,0.0013975945199267148,-0.0040407350957733235,-0.006,0.0038,-0.001267454925243048,Qualcomm,Arm Holdings IPO,-0.0011761741396233447,-0.05748280034257855
2023-09-11,-3,0.03900508209398201,0.011782744126504596,0.005623236181089342,-0.0027,-0.0052,0.031119794854024815,Qualcomm,Arm Holdings IPO,0.007885287239957196,-0.026363005488553734
2023-09-12,-2,0.008614477585713098,-0.011088396058693273,-0.015284797165456332,-0.0025,0.0101,0.02118973964307324,Qualcomm,Arm Holdings IPO,-0.012575262057360143,-0.0051732658454804945
2023-09-13,-1,0.012676400163274426,0.003809069120974451,0.02000225011623674,-0.0078,-0.0021,0.006720608607221682,Qualcomm,Arm Holdings IPO,0.005955791556052744,0.0015473427617411877
2023-09-14,0,0.012428990886585334,0.008177220353457804,0.004349282865062976,0.0024,0.0085,0.0006240917222840071,Qualcomm,Arm Holdings IPO,0.011804899164301327,0.002171434484025195
2023-09-15,1,-0.007891981047470908,-0.017122993196376446,-0.03440060489357863,0.0015,0.0024,0.019507757489780963,Qualcomm,Arm Holdings IPO,-0.02739973853725187,0.021679191973806158
2023-09-18,2,-0.0034470513677952175,-0.00040450337766495537,0.009081330846215957,-0.0083,-0.0018,-0.0019195625007487678,Qualcomm,Arm Holdings IPO,-0.0015274888670464496,0.01975962947305739
2023-09-19,3,-0.018004423763165134,-0.0021313563295651816,-0.002370912862802693,-0.0013,0.0,-0.013334994372654027,Qualcomm,Arm Holdings IPO,-0.004669429390511107,0.006424635100403362
2023-09-20,4,-0.01354768771190662,-0.014410432429310505,-0.01476623523793627,-0.001,0.0027,0.005109349523679918,Qualcomm,Arm Holdings IPO,-0.018657037235586538,0.01153398462408328
2023-09-21,5,-0.011536368084123727,-0.018324526901787763,-0.02819280759638404,0.0019,0.0038,0.01409694805504191,Qualcomm,Arm Holdings IPO,-0.025633316139165637,0.02563093267912519
2023-09-22,6,-0.002593541882839334,0.00013977061586745165,0.010368875190624127,0.0001,-0.005,-0.0021904141271969066,Qualcomm,Arm Holdings IPO,-0.0004031277556424276,0.02344051855192828
2023-09-25,7,0.02553863291424796,0.004749746226869966,0.00570467718553852,-0.001,0.0033,0.01958103996111129,Qualcomm,Arm Holdings IPO,0.0059575929531366706,0.04302155851303957
2023-09-26,8,-0.006429403989047899,-0.015016251262336966,-0.013046000971671051,0.0039,-0.0049,0.014832645823609016,Qualcomm,Arm Holdings IPO,-0.021262049812656916,0.05785420433664859
2023-09-27,9,-0.0048304663999299,0.0023432910134297824,0.008530499250120782,0.0069,0.001,-0.010083992390093947,Qualcomm,Arm Holdings IPO,0.005253525990164047,0.04777021194655465
