date,open,high,low,close,volume,foreign_ownership,code,name,daily_return,event_day,cumulative_return,benchmark_return,abnormal_return,cumulative_abnormal_return,asset,case
2022-03-11,411500.0,412000.0,390500.0,391000.0,1811373.0,3.3,373220,LG Energy Solution,-0.06347305389221558,26,-0.22574257425742572,-0.007103629417382962,-0.05636942447483262,-0.2499742778156131,LG Energy Solution,LG Energy Solution IPO
2022-03-14,385000.0,385500.0,361500.0,363500.0,1999479.0,2.97,373220,LG Energy Solution,-0.07033248081841437,27,-0.2801980198019802,-0.005873113689653153,-0.06445936712876121,-0.3144336449443743,LG Energy Solution,LG Energy Solution IPO
2022-03-15,363000.0,370000.0,355000.0,359500.0,1064506.0,2.91,373220,LG Energy Solution,-0.011004126547455306,28,-0.28811881188118815,-0.009116852191332847,-0.0018872743561224592,-0.3163209193004968,LG Energy Solution,LG Energy Solution IPO
2022-03-16,367000.0,367500.0,360000.0,363500.0,625328.0,2.9,373220,LG Energy Solution,0.011126564673157091,29,-0.2801980198019802,0.014380914961873437,-0.0032543502887163456,-0.3195752695892131,LG Energy Solution,LG Energy Solution IPO
2022-03-17,374000.0,381500.0,373000.0,376000.0,816118.0,2.9,373220,LG Energy Solution,0.0343878954607979,30,-0.25544554455445545,0.013266998341625369,0.021120897119172533,-0.2984543724700406,LG Energy Solution,LG Energy Solution IPO
2022-03-18,377500.0,384000.0,370500.0,382000.0,643915.0,2.88,373220,LG Energy Solution,0.015957446808510634,31,-0.24356435643564356,0.004642773639734088,0.011314673168776546,-0.28713969930126404,LG Energy Solution,LG Energy Solution IPO
2022-03-21,385000.0,397500.0,384000.0,386000.0,655247.0,2.89,373220,LG Energy Solution,0.010471204188481575,32,-0.23564356435643563,-0.007746525699847018,0.018217729888328593,-0.26892196941293545,LG Energy Solution,LG Energy Solution IPO
2022-03-22,388500.0,399000.0,388000.0,397500.0,413972.0,2.91,373220,LG Energy Solution,0.029792746113989743,33,-0.21287128712871284,0.008916438636659807,0.020876307477329936,-0.2480456619356055,LG Energy Solution,LG Energy Solution IPO
2022-03-23,403000.0,407500.0,398000.0,407000.0,523438.0,2.93,373220,LG Energy Solution,0.023899371069182385,34,-0.194059405940594,0.009243542435424468,0.014655828633757917,-0.2333898333018476,LG Energy Solution,LG Energy Solution IPO
2022-03-24,405000.0,410000.0,398000.0,408000.0,320746.0,2.93,373220,LG Energy Solution,0.002457002457002533,35,-0.19207920792079203,-0.0019707135152923216,0.0044277159722948545,-0.22896211732955274,LG Energy Solution,LG Energy Solution IPO
2022-03-25,418500.0,444000.0,417500.0,439000.0,1528600.0,3.05,373220,LG Energy Solution,0.0759803921568627,36,-0.1306930693069307,0.00011723071737868018,0.07586316143948402,-0.15309895589006872,LG Energy Solution,LG Energy Solution IPO
2022-03-28,439000.0,443000.0,430000.0,436500.0,481311.0,3.06,373220,LG Energy Solution,-0.005694760820045608,37,-0.13564356435643565,-0.00015384728093248423,-0.005540913539113124,-0.15863986942918185,LG Energy Solution,LG Energy Solution IPO
2022-03-29,443000.0,448500.0,440500.0,441000.0,375894.0,3.06,373220,LG Energy Solution,0.010309278350515427,38,-0.12673267326732673,0.004216796846378212,0.006092481504137215,-0.15254738792504463,LG Energy Solution,LG Energy Solution IPO
2022-03-30,444500.0,445000.0,427000.0,440500.0,440195.0,3.06,373220,LG Energy Solution,-0.0011337868480725266,39,-0.12772277227722773,0.002068535280018269,-0.0032023221280907954,-0.15574971005313543,LG Energy Solution,LG Energy Solution IPO
2022-03-31,437000.0,444000.0,435000.0,442000.0,272318.0,3.08,373220,LG Energy Solution,0.0034052213393871433,40,-0.12475247524752475,0.00397198133059562,-0.0005667599912084764,-0.1563164700443439,LG Energy Solution,LG Energy Solution IPO
2022-04-01,438500.0,439500.0,425000.0,428000.0,456080.0,3.04,373220,LG Energy Solution,-0.03167420814479638,41,-0.1524752475247525,-0.006454771272641602,-0.025219436872154777,-0.18153590691649868,LG Energy Solution,LG Energy Solution IPO
2022-04-04,422000.0,440500.0,417500.0,438500.0,362727.0,3.03,373220,LG Energy Solution,0.02453271028037385,42,-0.1316831683168317,0.006587951895176802,0.017944758385197046,-0.16359114853130163,LG Energy Solution,LG Energy Solution IPO
2022-04-05,442500.0,450000.0,437000.0,449000.0,491410.0,3.05,373220,LG Energy Solution,0.02394526795895091,43,-0.11089108910891088,0.0004713731462342441,0.023473894812716667,-0.14011725371858497,LG Energy Solution,LG Energy Solution IPO
2022-04-06,436000.0,448500.0,436000.0,444500.0,415524.0,3.04,373220,LG Energy Solution,-0.010022271714922093,44,-0.1198019801980198,-0.0087597854450564,-0.0012624862698656925,-0.14137973998845066,LG Energy Solution,LG Energy Solution IPO
2022-04-07,438000.0,442000.0,431000.0,436500.0,316409.0,3.05,373220,LG Energy Solution,-0.017997750281214864,45,-0.13564356435643565,-0.014321597934940367,-0.003676152346274497,-0.14505589233472516,LG Energy Solution,LG Energy Solution IPO
2022-04-08,449000.0,449000.0,437500.0,439500.0,395489.0,3.08,373220,LG Energy Solution,0.0068728522336769515,46,-0.1297029702970297,0.0016803543210699434,0.005192497912607008,-0.13986339442211815,LG Energy Solution,LG Energy Solution IPO
2022-04-11,435000.0,435500.0,423500.0,425000.0,289205.0,3.08,373220,LG Energy Solution,-0.0329920364050057,47,-0.15841584158415845,-0.00269961005632513,-0.030292426348680568,-0.17015582077079872,LG Energy Solution,LG Energy Solution IPO
2022-04-12,417000.0,421500.0,410000.0,411000.0,382240.0,3.06,373220,LG Energy Solution,-0.03294117647058825,48,-0.1861386138613862,-0.009780550295198753,-0.023160626175389498,-0.19331644694618821,LG Energy Solution,LG Energy Solution IPO
2022-04-13,414000.0,431500.0,404000.0,431000.0,386194.0,3.04,373220,LG Energy Solution,0.048661800486617945,49,-0.14653465346534655,0.01864809731659367,0.030013703170024275,-0.16330274377616394,LG Energy Solution,LG Energy Solution IPO
2022-04-14,434000.0,441000.0,427500.0,441000.0,321259.0,3.03,373220,LG Energy Solution,0.023201856148491906,50,-0.12673267326732673,8.098686172242076e-05,0.023120869286769485,-0.14018187448939445,LG Energy Solution,LG Energy Solution IPO
2022-04-15,435500.0,445000.0,431500.0,435000.0,307347.0,3.02,373220,LG Energy Solution,-0.013605442176870763,51,-0.13861386138613863,-0.00760110574923345,-0.0060043364276373135,-0.14618621091703177,LG Energy Solution,LG Energy Solution IPO
