date,open,high,low,close,volume,foreign_ownership,code,name
2021-05-07,127000,131500,127000,130500,251700,23.84,251270,Netmarble
2021-05-10,132500,134500,131000,133000,223887,23.88,251270,Netmarble
2021-05-11,132000,132500,128500,130000,232351,23.87,251270,Netmarble
2021-05-12,130000,130500,126500,127500,195924,23.84,251270,Netmarble
2021-05-13,125000,130000,123500,128500,265116,23.78,251270,Netmarble
2021-05-14,128500,129500,126500,127500,182417,23.69,251270,Netmarble
2021-05-17,128000,131500,127500,131500,296640,23.71,251270,Netmarble
2021-05-18,132500,135000,132000,134000,216194,23.73,251270,Netmarble
2021-05-20,132500,136000,131500,136000,204196,23.67,251270,Netmarble
2021-05-21,137500,138000,133000,135000,259819,23.6,251270,Netmarble
2021-05-24,135000,137500,133000,137500,193266,23.59,251270,Netmarble
2021-05-25,138000,138500,136000,138000,288140,23.58,251270,Netmarble
2021-05-26,138000,138000,135500,136000,175354,23.6,251270,Netmarble
2021-05-27,136000,138000,133500,137500,269450,23.58,251270,Netmarble
2021-05-28,138000,138500,136000,137000,152954,23.59,251270,Netmarble
2021-05-31,137000,141500,137000,139500,450595,23.58,251270,Netmarble
2021-06-01,140500,141000,139500,140500,153676,23.37,251270,Netmarble
2021-06-02,140500,141000,137500,139500,182174,23.3,251270,Netmarble
2021-06-03,138500,140000,138000,138500,143250,23.36,251270,Netmarble
2021-06-04,137500,138500,135000,136500,219664,23.36,251270,Netmarble
2021-06-07,137000,141000,136000,140000,237879,23.36,251270,Netmarble
2021-06-08,140000,143000,136000,138500,366460,23.34,251270,Netmarble
2021-06-09,141500,141500,138000,138500,292600,23.23,251270,Netmarble
2021-06-10,140500,146000,137500,144500,1120746,23.39,251270,Netmarble
2021-06-11,147000,148000,139000,141000,859782,23.27,251270,Netmarble
2021-06-14,142500,146000,140000,141000,521016,23.22,251270,Netmarble
2021-06-15,140500,141000,134000,134000,774035,23.09,251270,Netmarble
2021-06-16,134000,135000,131000,132000,458591,22.97,251270,Netmarble
2021-06-17,131000,136000,129000,134500,620407,22.92,251270,Netmarble
2021-06-18,134000,135500,132500,134500,286431,22.91,251270,Netmarble
2021-06-21,133500,136000,132000,134500,259620,22.92,251270,Netmarble
2021-06-22,135500,135500,132000,132000,212913,22.91,251270,Netmarble
2021-06-23,131500,133000,130000,130500,247717,22.9,251270,Netmarble
2021-06-24,130500,132500,129500,130500,177806,22.91,251270,Netmarble
2021-06-25,130500,131500,130000,131500,190047,22.9,251270,Netmarble
2021-06-28,132000,132000,130000,130500,175700,22.85,251270,Netmarble
2021-06-29,132500,134500,132000,133500,373156,22.9,251270,Netmarble
2021-06-30,136000,136500,134000,134000,305659,22.94,251270,Netmarble
2021-07-01,136500,141000,135000,139500,674588,23.11,251270,Netmarble
2021-07-02,139500,140000,136500,138500,366858,23.03,251270,Netmarble
2021-07-05,141000,144000,139000,141000,590709,23.05,251270,Netmarble
2021-07-06,142000,142500,138000,138000,368620,23.01,251270,Netmarble
2021-07-07,137000,139500,135500,136000,312727,23.0,251270,Netmarble
2021-07-08,136000,139000,135000,135000,340704,23.02,251270,Netmarble
2021-07-09,133000,134500,131000,133500,334524,22.99,251270,Netmarble
2021-07-12,135000,136000,133500,135500,173417,22.96,251270,Netmarble
2021-07-13,135500,138000,135500,136500,231266,22.93,251270,Netmarble
2021-07-14,136000,138000,135500,137000,164733,22.97,251270,Netmarble
2021-07-15,138000,139500,136500,138000,215844,22.95,251270,Netmarble
2021-07-16,137000,142000,136500,140000,431459,23.01,251270,Netmarble
2021-07-19,139000,139500,137000,137500,192747,22.92,251270,Netmarble
2021-07-20,136500,143500,135000,142500,720720,23.1,251270,Netmarble
2021-07-21,143500,145000,139500,141000,390510,23.07,251270,Netmarble
2021-07-22,141500,142500,139500,140500,253550,23.06,251270,Netmarble
2021-07-23,141000,144000,140500,143000,371690,22.95,251270,Netmarble
2021-07-26,145500,145500,138500,140000,413979,22.85,251270,Netmarble
2021-07-27,139500,140500,138000,138500,221295,22.84,251270,Netmarble
2021-07-28,138500,140000,137000,139500,235980,22.78,251270,Netmarble
2021-07-29,138500,142500,138500,142500,263433,22.82,251270,Netmarble
2021-07-30,141000,141000,137000,138500,309795,22.78,251270,Netmarble
2021-08-02,138000,138000,135500,137000,244818,22.74,251270,Netmarble
2021-08-03,141000,145500,132500,134500,1179981,22.75,251270,Netmarble
2021-08-04,135000,138500,132500,137000,335375,22.84,251270,Netmarble
2021-08-05,137500,139000,135500,136000,205757,22.83,251270,Netmarble
