date,open,high,low,close,volume,foreign_ownership,code,name,source
2021-01-05,660846,671616,644203,671616,614577,44.32,006400,Samsung SDI,naver-finance
2021-01-06,678469,687280,656930,665742,683480,44.29,006400,Samsung SDI,naver-finance
2021-01-07,673574,697071,661826,683365,773006,44.26,006400,Samsung SDI,naver-finance
2021-01-08,695113,723505,690217,723505,909175,44.32,006400,Samsung SDI,naver-finance
2021-01-11,734274,756792,701966,714694,1032614,44.21,006400,Samsung SDI,naver-finance
2021-01-12,715672,733295,688259,729379,964764,44.19,006400,Samsung SDI,naver-finance
2021-01-13,722526,743086,719589,738191,588393,44.28,006400,Samsung SDI,naver-finance
2021-01-14,735253,751896,730357,733295,543003,44.17,006400,Samsung SDI,naver-finance
2021-01-15,740148,747980,720567,721547,544270,44.17,006400,Samsung SDI,naver-finance
2021-01-18,700008,713714,690217,691197,657933,44.14,006400,Samsung SDI,naver-finance
2021-01-19,691197,719589,690218,716652,439699,44.17,006400,Samsung SDI,naver-finance
2021-01-20,737211,737211,708819,728400,428095,44.23,006400,Samsung SDI,naver-finance
2021-01-21,739169,740148,722525,729379,385460,44.24,006400,Samsung SDI,naver-finance
2021-01-22,735253,792037,729379,775394,994827,44.68,006400,Samsung SDI,naver-finance
2021-01-25,780289,780289,763645,773436,394827,44.57,006400,Samsung SDI,naver-finance
2021-01-26,778331,798890,766582,773436,482847,44.54,006400,Samsung SDI,naver-finance
2021-01-27,780289,795953,769519,772457,484434,44.57,006400,Samsung SDI,naver-finance
2021-01-28,748959,756792,727421,750918,767574,44.26,006400,Samsung SDI,naver-finance
2021-01-29,751897,753855,711756,718610,780685,44.1,006400,Samsung SDI,naver-finance
2021-02-01,714693,731337,703924,729379,447496,44.09,006400,Samsung SDI,naver-finance
2021-02-02,747980,747980,725462,736232,404836,44.18,006400,Samsung SDI,naver-finance
2021-02-03,742107,747002,731337,742107,354330,44.19,006400,Samsung SDI,naver-finance
2021-02-04,742106,748959,726441,731337,373223,44.22,006400,Samsung SDI,naver-finance
2021-02-05,735253,761687,733295,758750,472908,44.41,006400,Samsung SDI,naver-finance
2021-02-08,756792,765603,749938,753855,334461,44.4,006400,Samsung SDI,naver-finance
2021-02-09,761687,767561,754834,755813,219492,44.4,006400,Samsung SDI,naver-finance
2021-02-10,758749,766582,746022,766582,302493,44.46,006400,Samsung SDI,naver-finance
2021-02-15,789100,795953,777351,788121,434341,44.6,006400,Samsung SDI,naver-finance
2021-02-16,789100,790079,783225,786163,222870,44.61,006400,Samsung SDI,naver-finance
2021-02-17,799869,800848,783225,788121,326663,44.66,006400,Samsung SDI,naver-finance
2021-02-18,784205,787142,772456,772457,257661,44.66,006400,Samsung SDI,naver-finance
2021-02-19,771477,771477,746022,753855,429881,44.51,006400,Samsung SDI,naver-finance
2021-02-22,756792,756792,719588,723505,514836,44.36,006400,Samsung SDI,naver-finance
2021-02-23,707840,710777,688259,695113,624026,44.25,006400,Samsung SDI,naver-finance
2021-02-24,687280,703924,672595,672595,568437,44.11,006400,Samsung SDI,naver-finance
2021-02-25,689239,694134,677490,689239,455075,44.01,006400,Samsung SDI,naver-finance
2021-02-26,668679,671616,653993,659868,591517,43.87,006400,Samsung SDI,naver-finance
2021-03-02,681406,694133,660846,669658,591809,43.75,006400,Samsung SDI,naver-finance
2021-03-03,672595,681407,663784,681407,315812,43.71,006400,Samsung SDI,naver-finance
2021-03-04,666721,676511,657909,663784,378461,43.65,006400,Samsung SDI,naver-finance
2021-03-05,644203,667700,640287,656931,439446,43.59,006400,Samsung SDI,naver-finance
2021-03-08,658888,660846,636371,636371,373969,43.56,006400,Samsung SDI,naver-finance
2021-03-09,625602,635392,600147,622665,692526,43.56,006400,Samsung SDI,naver-finance
2021-03-10,652036,653015,622665,622665,468353,43.46,006400,Samsung SDI,naver-finance
2021-03-11,635391,675532,629517,672595,724475,43.61,006400,Samsung SDI,naver-finance
2021-03-12,689238,695112,668678,674553,418962,43.54,006400,Samsung SDI,naver-finance
2021-03-15,674553,688259,666720,671616,285216,43.48,006400,Samsung SDI,naver-finance
2021-03-16,680427,687280,653014,665742,510659,43.41,006400,Samsung SDI,naver-finance
2021-03-17,665742,665742,617769,625602,882014,43.08,006400,Samsung SDI,naver-finance
2021-03-18,641265,654972,639307,648119,544550,43.21,006400,Samsung SDI,naver-finance
2021-03-19,631475,647140,628538,647140,330774,43.22,006400,Samsung SDI,naver-finance
2021-03-22,647140,648119,625601,628539,394411,43.18,006400,Samsung SDI,naver-finance
2021-03-23,636370,637349,610916,610916,399872,43.14,006400,Samsung SDI,naver-finance
2021-03-24,607000,628539,606021,621686,367493,43.17,006400,Samsung SDI,naver-finance
2021-03-25,622665,633434,617769,621686,318118,43.15,006400,Samsung SDI,naver-finance
2021-03-26,626580,635392,614832,633434,323655,43.15,006400,Samsung SDI,naver-finance
2021-03-29,637350,646161,625601,637350,284494,43.34,006400,Samsung SDI,naver-finance
2021-03-30,640287,657910,635392,655952,340527,43.43,006400,Samsung SDI,naver-finance
2021-03-31,660846,661825,646161,646161,325489,43.38,006400,Samsung SDI,naver-finance
2021-04-01,655952,658889,646161,653015,255417,43.37,006400,Samsung SDI,naver-finance
2021-04-02,653994,657910,651056,653994,238456,43.35,006400,Samsung SDI,naver-finance
2021-04-05,651056,652035,636370,641266,261101,43.26,006400,Samsung SDI,naver-finance
2021-04-06,645182,646161,625601,628539,329134,43.13,006400,Samsung SDI,naver-finance
2021-04-07,638328,656930,632454,640287,459179,43.16,006400,Samsung SDI,naver-finance
2021-04-08,648119,648119,638328,643224,264348,43.09,006400,Samsung SDI,naver-finance
2021-04-09,647140,658889,645182,649099,334652,43.11,006400,Samsung SDI,naver-finance
2021-04-12,658888,658888,637349,641266,348553,42.98,006400,Samsung SDI,naver-finance
2021-04-13,651056,682385,649098,675532,927890,43.04,006400,Samsung SDI,naver-finance
2021-04-14,685323,690218,670637,682386,500337,42.93,006400,Samsung SDI,naver-finance
2021-04-15,682385,687281,673574,685323,368983,42.91,006400,Samsung SDI,naver-finance
2021-04-16,689239,697071,678470,679449,307953,42.82,006400,Samsung SDI,naver-finance
2021-04-19,677490,679448,670636,673574,216348,42.79,006400,Samsung SDI,naver-finance
2021-04-20,675532,677490,668678,675532,196137,42.79,006400,Samsung SDI,naver-finance
2021-04-21,670637,671616,654972,656931,289405,42.72,006400,Samsung SDI,naver-finance
2021-04-22,664763,664763,655951,657910,194657,42.73,006400,Samsung SDI,naver-finance
2021-04-23,657910,662805,646161,655952,188493,42.75,006400,Samsung SDI,naver-finance
2021-04-26,665741,674553,656930,674553,278723,42.87,006400,Samsung SDI,naver-finance
2021-04-27,676511,678469,668678,670637,266170,42.89,006400,Samsung SDI,naver-finance
2021-04-28,670637,670637,653015,653015,337982,42.83,006400,Samsung SDI,naver-finance
2021-04-29,655951,670637,653014,657910,348364,42.86,006400,Samsung SDI,naver-finance
2021-04-30,656930,657909,639308,640287,286801,42.78,006400,Samsung SDI,naver-finance
