date,event_day,return,market_return,industry_return,abnormal_return,asset,case,expected_return,cumulative_abnormal_return
2025-01-23,-5,-0.03727200634417127,-0.012394682496682519,-0.025447737608041365,-0.027918135989642837,Samsung SDS,LG CNS IPO,-0.009353870354528433,-0.027918135989642837
2025-01-24,-4,-0.06342668863261947,0.008471510520813297,-0.001297286591404212,-0.06756510864456132,Samsung SDS,LG CNS IPO,0.0041384200119418514,-0.09548324463420416
2025-01-31,-3,0.06156552330694809,-0.007659255755282368,0.02453108774093915,0.06626591213762487,Samsung SDS,LG CNS IPO,-0.004700388830676775,-0.02921733249657929
2025-02-03,-2,0.016570008285004212,-0.025192959318654062,-0.021630094043887105,0.03353304568014983,Samsung SDS,LG CNS IPO,-0.016963037395145618,0.0043157131835705395
2025-02-04,-1,0.02444987775061125,0.011304223802441005,0.0035516422635535894,0.018423631799511436,Samsung SDS,LG CNS IPO,0.006026245951099813,0.022739344983081975
2025-02-05,0,0.012728719172633296,0.011113394501327756,0.057120158749982664,0.004902047277780663,Samsung SDS,LG CNS IPO,0.007826671894852633,0.027641392260862638
2025-02-06,1,0.0,0.010951392237583013,-0.014243552923596803,-0.005176248354227251,Samsung SDS,LG CNS IPO,0.005176248354227251,0.022465143906635385
2025-02-07,2,-0.0070699135899450205,-0.005846062875726754,-0.006896532139089306,-0.002342863428685886,Samsung SDS,LG CNS IPO,-0.0047270501612591345,0.0201222804779495
2025-02-10,3,-0.0007911392405063333,-0.0002577401345007502,0.020595255192411566,-0.0004294899837870115,Samsung SDS,LG CNS IPO,-0.0003616492567193218,0.019692790494162487
2025-02-11,4,-0.006334125098970689,0.007052001570637012,-0.010634096007674176,-0.009279499047643008,Samsung SDS,LG CNS IPO,0.0029453739486723185,0.01041329144651948
2025-02-12,5,0.0063745019920318224,0.0036785411866642193,-0.030105594645069955,0.006167209507119728,Samsung SDS,LG CNS IPO,0.0002072924849120944,0.016580500953639207
2025-02-13,6,-0.007917656373713333,0.013647832553102202,0.04051768795327254,-0.016684407988379224,Samsung SDS,LG CNS IPO,0.008766751614665893,-0.00010390703474001672
2025-02-14,7,0.029529130087789346,0.0030505154519446798,-0.024909490280515034,0.029516085522265093,Samsung SDS,LG CNS IPO,1.3044565524251484e-05,0.029412178487525076
2025-02-17,8,0.014728682170542573,0.007475733775882398,0.00020954058181765767,0.011139028273833763,Samsung SDS,LG CNS IPO,0.0035896538967088096,0.04055120676135884
2025-02-18,9,-0.009931245225362817,0.006278683123788431,0.005252182565120778,-0.012976780139557298,Samsung SDS,LG CNS IPO,0.003045534914194481,0.027574426621801547
2025-02-19,10,0.010030864197530853,0.017020644812529184,0.12651019629886012,-0.003852751067061174,Samsung SDS,LG CNS IPO,0.013883615264592027,0.023721675554740373
2025-02-20,11,-0.006875477463712754,-0.006535605198538685,-0.0026512014451392507,-0.0018829434841776882,Samsung SDS,LG CNS IPO,-0.004992533979535065,0.021838732070562684
2025-02-21,12,-0.007692307692307665,0.0001959262413058216,0.03079116541626148,-0.007969888564511978,Samsung SDS,LG CNS IPO,0.00027758087220431326,0.013868843506050705
2025-02-24,13,0.005426356589147252,-0.003507146139879014,-0.009127694831851774,0.008817658695712813,Samsung SDS,LG CNS IPO,-0.0033913021065655603,0.02268650220176352
2025-02-25,14,-0.028527370855821133,-0.005662937998767603,-0.03173190654439695,-0.02302289457032812,Samsung SDS,LG CNS IPO,-0.005504476285493014,-0.0003363923685646003
2025-02-26,15,0.0087301587301587,0.0041060111242487984,0.0004602493066567237,0.007170944438795143,Samsung SDS,LG CNS IPO,0.0015592142913635559,0.0068345520702305426
2025-02-27,16,-0.0015735641227380137,-0.00732273417414786,0.012887240356083074,0.0033396078755520376,Samsung SDS,LG CNS IPO,-0.004913171998290051,0.01017415994578258
2025-02-28,17,-0.028368794326241176,-0.03393534852674729,-0.06099257952063414,-0.0047069034358028505,Samsung SDS,LG CNS IPO,-0.023661890890438325,0.005467256509979729
2025-03-04,18,-0.013787510137875048,-0.0015240170879429193,-0.04404934473271599,-0.010347427968380458,Samsung SDS,LG CNS IPO,-0.003440082169494588,-0.00488017145840073
2025-03-05,19,0.010690789473684292,0.011550385144646791,0.028727947669075382,0.0036151133214108707,Samsung SDS,LG CNS IPO,0.007075676152273422,-0.001265058136989859
2025-03-06,20,-0.004882017900732283,0.007048117179345725,0.061584277166727985,-0.010407985930702067,Samsung SDS,LG CNS IPO,0.0055259680299697845,-0.011673044067691925
